Packing List,PL-100017,,,,,,,
Booking,NW2617,Container,BOXU5889160,ETD,2026-08-28,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-1,PO-9471,BR6429-LH,Redhawk Brake Pad Set,Left Hand,12,0.120,27.2,24.5
2-9,PO-9441,CO7537-LH,Ironbridge Radiator,Left Hand,96,2.611,177.5,159.8
10-10,PO-9403,LT9392-STD,Lumen LED Headlight,Standard,12,0.126,6.5,5.9
11-12,PO-9529,DR3814-BK,Torqueline Drive Chain,Black,24,0.568,51.7,46.5
13-28,PO-9506,CO3144-CR,Ironbridge Radiator,Chrome,200,2.407,354.7,319.2
29-36,PO-9504,IG2866-RH,Voltera Spark Plug Set,Right Hand,96,1.976,310.2,279.2
37-52,PO-9445,BR2016-CE,Redhawk Brake Pad Set,Ceramic,200,1.806,286.9,258.2
53-68,PO-9519,FL8537-OE,Kestrel Oil Filter,OE Spec,200,0.709,710.8,639.7
69-69,PO-9460,CO7090-OE,Ironbridge Radiator,OE Spec,12,0.195,39.8,35.8
70-79,PO-9473,DR5189-HD,Torqueline Drive Chain,Heavy Duty,120,1.066,414.6,373.1
80-83,PO-9436,SU3192-BK,Summit Shock Absorber,Black,48,0.354,80.5,72.5
84-85,PO-9441,BR8276-HD,Redhawk Brake Pad Set,Heavy Duty,24,0.431,78.6,70.7
86-101,PO-9446,EL4957-STD,Voltera Battery 12V,Standard,200,3.979,147.0,132.3
102-103,PO-9421,CO7359-LH,Ironbridge Radiator,Left Hand,24,0.546,7.5,6.8
104-104,PO-9406,IG7191-OE,Voltera Spark Plug Set,OE Spec,12,0.344,32.6,29.3
105-114,PO-9468,LT7493-OE,Lumen LED Headlight,OE Spec,120,1.728,92.6,83.3
115-130,PO-9506,FL2412-LH,Kestrel Oil Filter,Left Hand,200,1.992,601.4,541.3
131-131,PO-9515,EL1467-CE,Voltera Battery 12V,Ceramic,12,0.108,21.0,18.9
132-141,PO-9517,FL3227-HD,Kestrel Oil Filter,Heavy Duty,120,2.378,54.1,48.7
142-149,PO-9504,DR1042-CR,Torqueline Drive Chain,Chrome,96,2.177,380.0,342.0
150-157,PO-9479,BD4760-CE,Ridgeline Side Mirror Set,Ceramic,96,1.972,144.4,130.0
158-165,PO-9463,FL6861-CR,Kestrel Oil Filter,Chrome,96,1.258,235.1,211.6
166-166,PO-9462,DR4365-RH,Torqueline Drive Chain,Right Hand,12,0.137,40.9,36.8
167-176,PO-9454,EL3387-BK,Voltera Battery 12V,Black,120,2.411,183.2,164.9
177-186,PO-9518,SU2344-CE,Summit Shock Absorber,Ceramic,120,2.367,277.6,249.8
187-187,PO-9486,FL5191-CE,Kestrel Oil Filter,Ceramic,12,0.037,22.5,20.2
188-191,PO-9498,BD1463-BK,Ridgeline Side Mirror Set,Black,48,0.136,165.5,149.0
192-193,PO-9521,EL8762-STD,Voltera Battery 12V,Standard,24,0.585,13.8,12.4
194-201,PO-9522,CO5632-PF,Ironbridge Radiator,Performance,96,2.847,372.8,335.5
202-203,PO-9409,CO4788-OE,Ironbridge Radiator,OE Spec,24,0.522,53.8,48.4
204-205,PO-9492,FL3142-CE,Kestrel Oil Filter,Ceramic,24,0.337,65.8,59.2
206-207,PO-9507,SU3939-STD,Summit Shock Absorber,Standard,24,0.362,51.1,46.0
208-209,PO-9463,BR2862-BK,Apex Brake Pad Set,Black,24,0.237,73.1,65.8
210-213,PO-9464,IG8546-STD,Voltera Spark Plug Set,Standard,48,0.168,31.0,27.9
214-217,PO-9402,FL9126-RH,Kestrel Oil Filter,Right Hand,48,1.154,139.1,125.2
218-233,PO-9467,DR8846-HD,Torqueline Drive Chain,Heavy Duty,200,5.461,437.5,393.8
234-243,PO-9496,DR5684-CR,Torqueline Drive Chain,Chrome,120,2.560,374.6,337.1
244-247,PO-9488,IG1757-LH,Voltera Spark Plug Set,Left Hand,48,0.122,49.6,44.6

TOTAL,,,,,3012,48.294,6606.6,5945.9
Total cartons,247,,,,,,,
