Packing List,PL-100027,,,,,,,
Booking,NW2627,Container,SEAU9229808,ETD,2026-09-27,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9499,EL5228-CE,Voltera Battery 12V,Ceramic,48,1.065,47.2,42.5
5-6,PO-9490,LT8820-OE,Lumen LED Headlight,OE Spec,24,0.072,23.5,21.2
7-10,PO-9423,BR4474-LH,Redhawk Brake Pad Set,Left Hand,48,1.088,160.2,144.2
11-26,PO-9536,IG1732-CE,Voltera Spark Plug Set,Ceramic,200,2.219,492.7,443.4
27-28,PO-9473,BD5869-HD,Ridgeline Side Mirror Set,Heavy Duty,24,0.380,31.6,28.4
29-29,PO-9444,CO1053-BK,Ironbridge Radiator,Black,12,0.248,11.3,10.2
30-33,PO-9514,CO7624-HD,Ironbridge Radiator,Heavy Duty,48,0.468,100.2,90.2
34-41,PO-9405,BR9650-BK,Redhawk Brake Pad Set,Black,96,1.883,30.9,27.8
42-51,PO-9403,IG5265-STD,Voltera Spark Plug Set,Standard,120,2.383,43.8,39.4
52-52,PO-9496,DR8041-CR,Torqueline Drive Chain,Chrome,12,0.138,36.8,33.1
53-53,PO-9458,BR5235-LH,Redhawk Brake Pad Set,Left Hand,12,0.239,10.4,9.4
54-54,PO-9485,BD7068-RH,Ridgeline Side Mirror Set,Right Hand,12,0.204,7.8,7.0
55-70,PO-9453,FL7970-OE,Kestrel Oil Filter,OE Spec,200,5.815,152.6,137.3
71-71,PO-9462,BR7562-LH,Apex Brake Pad Set,Left Hand,12,0.038,26.6,23.9
72-75,PO-9481,CO5172-BK,Ironbridge Radiator,Black,48,1.242,71.1,64.0
76-83,PO-9462,FL6229-LH,Kestrel Oil Filter,Left Hand,96,1.819,50.4,45.4
84-91,PO-9406,SU8844-HD,Summit Shock Absorber,Heavy Duty,96,1.097,243.8,219.4
92-99,PO-9491,CO8590-OE,Ironbridge Radiator,OE Spec,96,1.043,197.7,177.9
100-115,PO-9421,BD2188-OE,Ridgeline Side Mirror Set,OE Spec,200,1.021,303.5,273.2
116-116,PO-9532,SU3543-HD,Summit Shock Absorber,Heavy Duty,12,0.306,28.6,25.7
117-124,PO-9537,DR6483-CR,Torqueline Drive Chain,Chrome,96,1.340,319.1,287.2
125-128,PO-9473,EL9762-LH,Voltera Battery 12V,Left Hand,48,0.323,16.4,14.8
129-136,PO-9411,FL3325-CE,Kestrel Oil Filter,Ceramic,96,0.222,298.3,268.5
137-152,PO-9449,FL2805-HD,Kestrel Oil Filter,Heavy Duty,200,1.679,621.7,559.5
153-162,PO-9464,BR4759-BK,Apex Brake Pad Set,Black,120,3.382,386.2,347.6
163-172,PO-9508,BD2381-OE,Ridgeline Side Mirror Set,OE Spec,120,2.564,87.0,78.3
173-188,PO-9476,FL6379-RH,Kestrel Oil Filter,Right Hand,200,4.138,783.8,705.4
189-189,PO-9451,DR4895-RH,Torqueline Drive Chain,Right Hand,12,0.261,34.3,30.9
190-205,PO-9535,BR1113-RH,Apex Brake Pad Set,Right Hand,200,1.488,476.6,428.9
206-206,PO-9456,BD6400-CE,Ridgeline Side Mirror Set,Ceramic,12,0.030,13.9,12.5
207-214,PO-9476,CO7943-STD,Ironbridge Radiator,Standard,96,1.847,174.9,157.4
215-230,PO-9472,EL3514-LH,Voltera Battery 12V,Left Hand,200,2.097,641.6,577.4
231-231,PO-9427,BR3794-LH,Redhawk Brake Pad Set,Left Hand,12,0.045,36.1,32.5
232-235,PO-9498,SU3022-BK,Summit Shock Absorber,Black,48,0.213,177.7,159.9
236-245,PO-9528,EL6694-LH,Voltera Battery 12V,Left Hand,120,0.530,319.3,287.4
246-253,PO-9409,EL6957-LH,Voltera Battery 12V,Left Hand,96,0.666,31.3,28.2

TOTAL,,,,,3092,43.593,6488.9,5840.0
Total cartons,253,,,,,,,
