Packing List,PL-100044,,,,,,,
Booking,NW2644,Container,BOXU7884091,ETD,2026-09-26,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-1,PO-9452,BD6403-CE,Ridgeline Side Mirror Set,Ceramic,12,0.139,22.7,20.4
2-17,PO-9400,DR6604-STD,Torqueline Drive Chain,Standard,200,5.092,336.7,303.0
18-33,PO-9509,SU1616-BK,Summit Shock Absorber,Black,200,4.114,496.7,447.0
34-41,PO-9422,IG2782-HD,Voltera Spark Plug Set,Heavy Duty,96,2.168,31.9,28.7
42-49,PO-9436,DR3550-STD,Torqueline Drive Chain,Standard,96,1.460,326.1,293.5
50-65,PO-9473,BR9377-RH,Apex Brake Pad Set,Right Hand,200,5.432,537.0,483.3
66-81,PO-9420,LT8230-PF,Lumen LED Headlight,Performance,200,3.084,171.9,154.7
82-91,PO-9425,LT9712-CR,Lumen LED Headlight,Chrome,120,2.156,271.3,244.2
92-93,PO-9538,EL7534-HD,Voltera Battery 12V,Heavy Duty,24,0.505,68.1,61.3
94-95,PO-9505,FL5000-STD,Kestrel Oil Filter,Standard,24,0.054,76.7,69.0
96-96,PO-9435,BR9786-STD,Apex Brake Pad Set,Standard,12,0.149,31.2,28.1
97-97,PO-9500,IG7122-PF,Voltera Spark Plug Set,Performance,12,0.174,33.9,30.5
98-101,PO-9435,DR5414-OE,Torqueline Drive Chain,OE Spec,48,0.704,119.9,107.9
102-105,PO-9488,DR6925-OE,Torqueline Drive Chain,OE Spec,48,0.301,137.9,124.1
106-109,PO-9402,FL7222-HD,Kestrel Oil Filter,Heavy Duty,48,1.382,116.3,104.7
110-117,PO-9453,IG6130-BK,Voltera Spark Plug Set,Black,96,1.899,90.4,81.4
118-121,PO-9509,SU5305-STD,Summit Shock Absorber,Standard,48,0.975,129.4,116.5
122-123,PO-9423,EL4129-PF,Voltera Battery 12V,Performance,24,0.216,73.2,65.9
124-139,PO-9493,LT7736-OE,Lumen LED Headlight,OE Spec,200,1.345,131.3,118.2
140-155,PO-9533,EL7889-STD,Voltera Battery 12V,Standard,200,0.745,454.3,408.9
156-159,PO-9429,LT1795-HD,Lumen LED Headlight,Heavy Duty,48,0.366,79.6,71.6
160-167,PO-9454,CO3888-CR,Ironbridge Radiator,Chrome,96,2.374,282.4,254.2
168-171,PO-9410,DR9143-CR,Torqueline Drive Chain,Chrome,48,0.562,159.0,143.1
172-172,PO-9481,BR9062-STD,Apex Brake Pad Set,Standard,12,0.183,27.7,24.9
173-180,PO-9517,DR2530-HD,Torqueline Drive Chain,Heavy Duty,96,0.395,290.7,261.6
181-188,PO-9485,CO8251-HD,Ironbridge Radiator,Heavy Duty,96,1.620,119.9,107.9
189-196,PO-9515,BR2938-CR,Apex Brake Pad Set,Chrome,96,1.043,280.9,252.8
197-204,PO-9419,BR2430-HD,Redhawk Brake Pad Set,Heavy Duty,96,2.713,75.2,67.7
205-206,PO-9502,LT2731-PF,Lumen LED Headlight,Performance,24,0.592,17.1,15.4
207-207,PO-9530,FL6648-OE,Kestrel Oil Filter,OE Spec,12,0.205,13.0,11.7
208-209,PO-9466,IG8950-CR,Voltera Spark Plug Set,Chrome,24,0.709,59.5,53.6
210-219,PO-9450,IG6679-OE,Voltera Spark Plug Set,OE Spec,120,1.764,292.8,263.5
220-221,PO-9429,IG8322-CR,Voltera Spark Plug Set,Chrome,24,0.051,28.2,25.4
222-237,PO-9416,BD6393-LH,Ridgeline Side Mirror Set,Left Hand,200,5.848,148.9,134.0
238-245,PO-9514,SU2318-STD,Summit Shock Absorber,Standard,96,2.841,147.8,133.0
246-255,PO-9461,IG9017-BK,Voltera Spark Plug Set,Black,120,1.217,49.3,44.4
256-265,PO-9528,CO9520-RH,Ironbridge Radiator,Right Hand,120,3.412,74.1,66.7
266-269,PO-9529,SU8765-RH,Summit Shock Absorber,Right Hand,48,0.540,159.0,143.1
270-271,PO-9520,CO2199-BK,Ironbridge Radiator,Black,24,0.343,54.3,48.9

TOTAL,,,,,3308,58.872,6016.3,5414.8
Total cartons,271,,,,,,,
