Packing List,PL-100031,,,,,,,
Booking,NW2631,Container,BOXU1904681,ETD,2026-06-26,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-10,PO-9466,BR3468-OE,Apex Brake Pad Set,OE Spec,120,0.657,223.5,201.2
11-12,PO-9417,CO3057-OE,Ironbridge Radiator,OE Spec,24,0.557,74.8,67.3
13-14,PO-9495,FL7538-LH,Kestrel Oil Filter,Left Hand,24,0.284,48.5,43.6
15-22,PO-9537,LT8548-HD,Lumen LED Headlight,Heavy Duty,96,0.323,357.2,321.5
23-26,PO-9502,CO6753-OE,Ironbridge Radiator,OE Spec,48,0.785,118.9,107.0
27-30,PO-9526,DR1589-BK,Torqueline Drive Chain,Black,48,1.431,46.1,41.5
31-46,PO-9503,IG7893-RH,Voltera Spark Plug Set,Right Hand,200,4.646,743.5,669.1
47-50,PO-9449,BR2901-BK,Redhawk Brake Pad Set,Black,48,1.178,115.6,104.0
51-51,PO-9492,CO8322-BK,Ironbridge Radiator,Black,12,0.155,8.4,7.6
52-52,PO-9428,DR2600-OE,Torqueline Drive Chain,OE Spec,12,0.198,47.9,43.1
53-62,PO-9515,IG8446-RH,Voltera Spark Plug Set,Right Hand,120,3.550,340.2,306.2
63-78,PO-9493,DR9590-HD,Torqueline Drive Chain,Heavy Duty,200,2.258,419.7,377.7
79-86,PO-9486,CO5456-HD,Ironbridge Radiator,Heavy Duty,96,2.030,299.1,269.2
87-87,PO-9537,CO3561-RH,Ironbridge Radiator,Right Hand,12,0.103,16.4,14.8
88-88,PO-9458,LT9162-OE,Lumen LED Headlight,OE Spec,12,0.094,18.5,16.7

TOTAL,,,,,1072,18.249,2878.3,2590.5
Total cartons,88,,,,,,,
