Packing List,PL-100061,,,,,,,
Booking,NW2661,Container,CNTU3906813,ETD,2026-07-08,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9414,EL3183-HD,Voltera Battery 12V,Heavy Duty,48,0.115,21.6,19.4
5-5,PO-9533,DR2896-BK,Torqueline Drive Chain,Black,12,0.118,24.8,22.3
6-15,PO-9463,SU2841-OE,Summit Shock Absorber,OE Spec,120,2.562,369.9,332.9
16-31,PO-9430,FL2971-PF,Kestrel Oil Filter,Performance,200,2.625,172.5,155.2
32-32,PO-9412,CO1784-LH,Ironbridge Radiator,Left Hand,12,0.357,5.4,4.9
33-42,PO-9529,SU6291-LH,Summit Shock Absorber,Left Hand,120,3.237,403.6,363.2
43-46,PO-9519,BD8189-CR,Ridgeline Side Mirror Set,Chrome,48,1.039,130.5,117.5
47-56,PO-9490,IG9317-BK,Voltera Spark Plug Set,Black,120,2.505,300.4,270.4
57-66,PO-9470,BR3862-BK,Apex Brake Pad Set,Black,120,2.534,51.8,46.6
67-76,PO-9464,LT1627-HD,Lumen LED Headlight,Heavy Duty,120,0.455,133.5,120.2
77-84,PO-9492,CO5398-RH,Ironbridge Radiator,Right Hand,96,0.870,168.5,151.7
85-88,PO-9447,IG6807-LH,Voltera Spark Plug Set,Left Hand,48,0.982,163.5,147.2
89-98,PO-9408,IG5705-BK,Voltera Spark Plug Set,Black,120,1.510,419.9,377.9
99-102,PO-9407,BR1589-HD,Apex Brake Pad Set,Heavy Duty,48,0.320,88.5,79.7
103-112,PO-9436,EL6220-CE,Voltera Battery 12V,Ceramic,120,1.888,345.2,310.7
113-128,PO-9436,CO7428-HD,Ironbridge Radiator,Heavy Duty,200,1.364,250.2,225.2
129-144,PO-9525,IG4980-BK,Voltera Spark Plug Set,Black,200,2.258,591.0,531.9
145-146,PO-9539,BD8151-BK,Ridgeline Side Mirror Set,Black,24,0.317,65.6,59.0
147-154,PO-9530,LT7060-OE,Lumen LED Headlight,OE Spec,96,0.261,196.7,177.0
155-164,PO-9494,SU5423-PF,Summit Shock Absorber,Performance,120,2.223,448.8,403.9
165-166,PO-9445,BD1476-LH,Ridgeline Side Mirror Set,Left Hand,24,0.150,35.7,32.1
167-167,PO-9402,DR8194-CR,Torqueline Drive Chain,Chrome,12,0.134,4.0,3.6
168-175,PO-9436,SU3582-OE,Summit Shock Absorber,OE Spec,96,1.141,356.4,320.8
176-185,PO-9526,BR1970-CE,Apex Brake Pad Set,Ceramic,120,0.871,315.3,283.8
186-187,PO-9507,DR8909-BK,Torqueline Drive Chain,Black,24,0.263,44.6,40.1
188-197,PO-9410,IG3216-LH,Voltera Spark Plug Set,Left Hand,120,3.209,236.7,213.0
198-205,PO-9538,EL4664-BK,Voltera Battery 12V,Black,96,2.794,242.7,218.4
206-206,PO-9510,EL5617-CE,Voltera Battery 12V,Ceramic,12,0.209,22.4,20.2
207-222,PO-9426,FL6523-BK,Kestrel Oil Filter,Black,200,2.522,466.1,419.5
223-224,PO-9534,FL9029-BK,Kestrel Oil Filter,Black,24,0.322,12.5,11.2
225-226,PO-9422,FL5800-RH,Kestrel Oil Filter,Right Hand,24,0.187,87.6,78.8
227-230,PO-9437,CO1169-OE,Ironbridge Radiator,OE Spec,48,0.124,154.9,139.4
231-238,PO-9530,EL4167-CR,Voltera Battery 12V,Chrome,96,1.963,56.1,50.5
239-248,PO-9466,IG9861-OE,Voltera Spark Plug Set,OE Spec,120,0.879,150.7,135.6
249-249,PO-9406,CO4185-HD,Ironbridge Radiator,Heavy Duty,12,0.188,4.3,3.9
250-253,PO-9466,EL1885-RH,Voltera Battery 12V,Right Hand,48,1.180,166.6,149.9
254-255,PO-9434,DR2752-RH,Torqueline Drive Chain,Right Hand,24,0.067,55.0,49.5
256-271,PO-9505,BR8789-LH,Apex Brake Pad Set,Left Hand,200,5.362,603.6,543.2

TOTAL,,,,,3292,49.105,7367.1,6630.3
Total cartons,271,,,,,,,
