Packing List,PL-100071,,,,,,,
Booking,NW2671,Container,BOXU4376437,ETD,2026-06-12,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-8,PO-9406,EL3901-CR,Voltera Battery 12V,Chrome,96,1.348,62.3,56.1
9-10,PO-9440,BD7280-OE,Ridgeline Side Mirror Set,OE Spec,24,0.090,92.0,82.8
11-20,PO-9482,SU8472-OE,Summit Shock Absorber,OE Spec,120,2.762,82.7,74.4
21-24,PO-9526,IG1027-LH,Voltera Spark Plug Set,Left Hand,48,0.689,188.7,169.8
25-28,PO-9496,FL9113-LH,Kestrel Oil Filter,Left Hand,48,1.138,174.2,156.8
29-36,PO-9496,LT5275-STD,Lumen LED Headlight,Standard,96,1.970,382.7,344.4
37-52,PO-9493,IG3577-LH,Voltera Spark Plug Set,Left Hand,200,2.037,618.0,556.2
53-60,PO-9502,SU5865-OE,Summit Shock Absorber,OE Spec,96,0.547,324.7,292.2
61-62,PO-9490,LT5779-RH,Lumen LED Headlight,Right Hand,24,0.246,93.8,84.4
63-66,PO-9413,BD6491-STD,Ridgeline Side Mirror Set,Standard,48,0.922,99.1,89.2
67-70,PO-9437,CO4178-RH,Ironbridge Radiator,Right Hand,48,0.391,142.8,128.5
71-78,PO-9521,FL6955-HD,Kestrel Oil Filter,Heavy Duty,96,1.371,123.0,110.7
79-86,PO-9512,EL2516-RH,Voltera Battery 12V,Right Hand,96,1.848,244.6,220.1
87-94,PO-9497,IG8931-BK,Voltera Spark Plug Set,Black,96,2.166,357.3,321.6
95-104,PO-9501,BR9129-OE,Redhawk Brake Pad Set,OE Spec,120,2.887,299.1,269.2
105-105,PO-9416,EL4855-LH,Voltera Battery 12V,Left Hand,12,0.057,36.5,32.9
106-107,PO-9427,DR8005-CE,Torqueline Drive Chain,Ceramic,24,0.283,41.6,37.4
108-109,PO-9445,FL4174-CE,Kestrel Oil Filter,Ceramic,24,0.083,24.9,22.4
110-119,PO-9507,BD2811-CE,Ridgeline Side Mirror Set,Ceramic,120,3.481,281.0,252.9
120-123,PO-9510,SU8789-PF,Summit Shock Absorber,Performance,48,1.322,40.7,36.6
124-124,PO-9450,IG1945-OE,Voltera Spark Plug Set,OE Spec,12,0.275,19.6,17.6
125-134,PO-9440,EL6090-CE,Voltera Battery 12V,Ceramic,120,1.235,301.3,271.2
135-142,PO-9534,BD2648-CE,Ridgeline Side Mirror Set,Ceramic,96,2.347,278.1,250.3
143-150,PO-9521,BD5288-RH,Ridgeline Side Mirror Set,Right Hand,96,2.090,264.6,238.1
151-166,PO-9531,BR7057-BK,Redhawk Brake Pad Set,Black,200,3.529,458.3,412.5
167-182,PO-9505,EL4730-LH,Voltera Battery 12V,Left Hand,200,4.483,701.8,631.6
183-190,PO-9501,FL7472-STD,Kestrel Oil Filter,Standard,96,0.897,120.6,108.5
191-206,PO-9426,SU5003-BK,Summit Shock Absorber,Black,200,4.648,580.5,522.5
207-216,PO-9470,BD2756-RH,Ridgeline Side Mirror Set,Right Hand,120,3.315,49.5,44.6
217-232,PO-9538,BR6503-STD,Apex Brake Pad Set,Standard,200,3.840,383.4,345.1
233-236,PO-9521,EL3908-RH,Voltera Battery 12V,Right Hand,48,0.815,164.3,147.9
237-238,PO-9526,EL9061-OE,Voltera Battery 12V,OE Spec,24,0.533,10.6,9.5
239-240,PO-9493,IG9360-HD,Voltera Spark Plug Set,Heavy Duty,24,0.496,8.8,7.9

TOTAL,,,,,2920,54.141,7051.1,6345.9
Total cartons,240,,,,,,,
