Packing List,PL-100010,,,,,,,
Booking,NW2610,Container,BOXU7840378,ETD,2026-06-24,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-2,PO-9523,IG5272-CE,Voltera Spark Plug Set,Ceramic,24,0.116,9.5,8.6
3-4,PO-9411,LT9016-STD,Lumen LED Headlight,Standard,24,0.099,17.8,16.0
5-8,PO-9494,BR7134-RH,Apex Brake Pad Set,Right Hand,48,1.312,82.8,74.5
9-16,PO-9500,BD9498-CE,Ridgeline Side Mirror Set,Ceramic,96,1.819,324.7,292.2
17-18,PO-9438,CO2615-STD,Ironbridge Radiator,Standard,24,0.442,53.8,48.4
19-26,PO-9534,LT3785-OE,Lumen LED Headlight,OE Spec,96,2.188,327.8,295.0
27-28,PO-9408,BD4660-PF,Ridgeline Side Mirror Set,Performance,24,0.307,55.0,49.5
29-30,PO-9524,BD2239-CR,Ridgeline Side Mirror Set,Chrome,24,0.243,52.5,47.2
31-46,PO-9412,BR7157-LH,Apex Brake Pad Set,Left Hand,200,2.735,400.3,360.3
47-47,PO-9492,EL1527-LH,Voltera Battery 12V,Left Hand,12,0.206,45.6,41.0
48-55,PO-9474,EL4794-OE,Voltera Battery 12V,OE Spec,96,1.128,117.3,105.6
56-56,PO-9420,IG5410-BK,Voltera Spark Plug Set,Black,12,0.281,19.8,17.8
57-58,PO-9438,EL1744-RH,Voltera Battery 12V,Right Hand,24,0.472,80.8,72.7
59-60,PO-9499,SU5431-CE,Summit Shock Absorber,Ceramic,24,0.669,22.8,20.5
61-62,PO-9512,SU9897-HD,Summit Shock Absorber,Heavy Duty,24,0.596,82.1,73.9
63-64,PO-9481,DR2309-STD,Torqueline Drive Chain,Standard,24,0.208,93.4,84.1
65-66,PO-9502,EL9811-CR,Voltera Battery 12V,Chrome,24,0.372,65.6,59.0
67-74,PO-9479,BR6526-HD,Redhawk Brake Pad Set,Heavy Duty,96,0.940,120.3,108.3
75-84,PO-9470,CO8240-CR,Ironbridge Radiator,Chrome,120,1.213,238.5,214.7
85-88,PO-9525,SU8993-HD,Summit Shock Absorber,Heavy Duty,48,1.272,131.5,118.4
89-89,PO-9436,DR8518-LH,Torqueline Drive Chain,Left Hand,12,0.199,8.3,7.5
90-97,PO-9436,BD8722-LH,Ridgeline Side Mirror Set,Left Hand,96,2.645,367.8,331.0
98-113,PO-9458,IG8105-OE,Voltera Spark Plug Set,OE Spec,200,3.338,550.2,495.2
114-123,PO-9472,BD9174-RH,Ridgeline Side Mirror Set,Right Hand,120,2.776,259.5,233.6
124-124,PO-9538,BD2708-STD,Ridgeline Side Mirror Set,Standard,12,0.193,44.4,40.0
125-128,PO-9414,SU5948-HD,Summit Shock Absorber,Heavy Duty,48,1.202,110.2,99.2

TOTAL,,,,,1552,26.971,3682.3,3314.2
Total cartons,128,,,,,,,
