Packing List,PL-100040,,,,,,,
Booking,NW2640,Container,CNTU6840022,ETD,2026-07-19,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-2,PO-9452,EL9215-OE,Voltera Battery 12V,OE Spec,24,0.557,39.5,35.6
3-3,PO-9478,DR1307-STD,Torqueline Drive Chain,Standard,12,0.117,19.2,17.3
4-19,PO-9535,IG1411-LH,Voltera Spark Plug Set,Left Hand,200,2.233,113.3,102.0
20-27,PO-9417,BD7972-RH,Ridgeline Side Mirror Set,Right Hand,96,2.094,171.5,154.3
28-31,PO-9482,FL9296-BK,Kestrel Oil Filter,Black,48,0.178,15.9,14.3
32-39,PO-9447,FL9766-OE,Kestrel Oil Filter,OE Spec,96,2.812,264.2,237.8
40-55,PO-9461,SU4552-PF,Summit Shock Absorber,Performance,200,3.119,179.6,161.6
56-71,PO-9496,DR5130-LH,Torqueline Drive Chain,Left Hand,200,2.689,766.3,689.7
72-72,PO-9486,IG4602-OE,Voltera Spark Plug Set,OE Spec,12,0.321,5.6,5.0
73-80,PO-9415,SU1646-PF,Summit Shock Absorber,Performance,96,1.567,188.7,169.8
81-88,PO-9488,FL5344-LH,Kestrel Oil Filter,Left Hand,96,0.794,114.0,102.6
89-104,PO-9401,SU9981-LH,Summit Shock Absorber,Left Hand,200,4.272,719.9,647.9
105-105,PO-9463,BR7754-CE,Apex Brake Pad Set,Ceramic,12,0.169,6.2,5.6
106-107,PO-9455,BD7065-LH,Ridgeline Side Mirror Set,Left Hand,24,0.360,87.1,78.4
108-111,PO-9515,SU1077-RH,Summit Shock Absorber,Right Hand,48,0.273,22.5,20.2
112-113,PO-9538,IG9718-OE,Voltera Spark Plug Set,OE Spec,24,0.692,20.6,18.5
114-121,PO-9434,EL7898-LH,Voltera Battery 12V,Left Hand,96,2.032,277.4,249.7
122-129,PO-9434,BR6532-CE,Apex Brake Pad Set,Ceramic,96,0.380,334.1,300.7
130-137,PO-9439,BR6941-CE,Apex Brake Pad Set,Ceramic,96,0.605,97.9,88.1
138-153,PO-9530,IG4047-PF,Voltera Spark Plug Set,Performance,200,4.237,608.6,547.7
154-157,PO-9439,DR4165-PF,Torqueline Drive Chain,Performance,48,0.212,111.9,100.7
158-159,PO-9401,IG6176-CE,Voltera Spark Plug Set,Ceramic,24,0.147,30.1,27.1
160-169,PO-9421,CO9503-CE,Ironbridge Radiator,Ceramic,120,2.727,36.4,32.8
170-170,PO-9481,EL8066-LH,Voltera Battery 12V,Left Hand,12,0.162,26.8,24.1

TOTAL,,,,,2080,32.749,4257.3,3831.5
Total cartons,170,,,,,,,
