Packing List,PL-100060,,,,,,,
Booking,NW2660,Container,SEAU6279824,ETD,2026-07-21,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9475,IG7542-RH,Voltera Spark Plug Set,Right Hand,48,0.169,56.3,50.7
5-6,PO-9526,CO9008-STD,Ironbridge Radiator,Standard,24,0.054,61.5,55.4
7-16,PO-9520,DR8679-CR,Torqueline Drive Chain,Chrome,120,0.466,210.0,189.0
17-18,PO-9466,LT7702-HD,Lumen LED Headlight,Heavy Duty,24,0.606,37.6,33.8
19-22,PO-9410,BR5139-RH,Apex Brake Pad Set,Right Hand,48,1.196,127.2,114.5
23-32,PO-9400,FL6644-STD,Kestrel Oil Filter,Standard,120,1.137,255.0,229.5
33-36,PO-9433,IG5544-CR,Voltera Spark Plug Set,Chrome,48,0.561,113.6,102.2
37-52,PO-9512,IG1438-CR,Voltera Spark Plug Set,Chrome,200,2.403,797.8,718.0
53-56,PO-9459,IG4172-OE,Voltera Spark Plug Set,OE Spec,48,0.286,57.3,51.6
57-57,PO-9517,IG4513-OE,Voltera Spark Plug Set,OE Spec,12,0.097,35.5,31.9
58-59,PO-9413,IG3037-LH,Voltera Spark Plug Set,Left Hand,24,0.313,22.2,20.0
60-67,PO-9494,IG7538-PF,Voltera Spark Plug Set,Performance,96,1.025,78.1,70.3
68-83,PO-9465,SU5133-LH,Summit Shock Absorber,Left Hand,200,4.585,449.3,404.4
84-91,PO-9538,DR7344-LH,Torqueline Drive Chain,Left Hand,96,2.633,211.6,190.4

TOTAL,,,,,1108,15.531,2513.0,2261.7
Total cartons,91,,,,,,,
