Packing List,PL-100082,,,,,,,
Booking,NW2682,Container,BOXU6407714,ETD,2026-07-12,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9445,BD4851-HD,Ridgeline Side Mirror Set,Heavy Duty,48,1.393,147.4,132.7
5-14,PO-9521,CO4299-CE,Ironbridge Radiator,Ceramic,120,1.348,385.1,346.6
15-22,PO-9502,LT5928-BK,Lumen LED Headlight,Black,96,1.838,164.4,148.0
23-26,PO-9515,CO9703-OE,Ironbridge Radiator,OE Spec,48,0.554,138.5,124.7
27-36,PO-9406,CO9178-BK,Ironbridge Radiator,Black,120,0.351,449.6,404.6
37-38,PO-9406,CO8915-LH,Ironbridge Radiator,Left Hand,24,0.656,25.0,22.5
39-54,PO-9413,SU3134-CR,Summit Shock Absorber,Chrome,200,2.068,147.2,132.5
55-64,PO-9435,CO4204-LH,Ironbridge Radiator,Left Hand,120,2.410,388.0,349.2
65-68,PO-9448,SU4623-OE,Summit Shock Absorber,OE Spec,48,0.654,124.6,112.1
69-78,PO-9466,FL9444-BK,Kestrel Oil Filter,Black,120,2.874,133.3,120.0
79-82,PO-9523,FL5552-CE,Kestrel Oil Filter,Ceramic,48,0.186,120.9,108.8
83-90,PO-9509,SU6842-OE,Summit Shock Absorber,OE Spec,96,0.778,63.8,57.4
91-91,PO-9475,DR4395-BK,Torqueline Drive Chain,Black,12,0.156,35.7,32.1
92-99,PO-9417,BR7322-BK,Redhawk Brake Pad Set,Black,96,1.179,316.1,284.5
100-103,PO-9513,BR2439-CR,Redhawk Brake Pad Set,Chrome,48,1.217,156.4,140.8
104-104,PO-9481,LT5780-STD,Lumen LED Headlight,Standard,12,0.214,11.4,10.3
105-108,PO-9409,CO5674-CR,Ironbridge Radiator,Chrome,48,1.217,66.6,59.9
109-118,PO-9431,SU6555-PF,Summit Shock Absorber,Performance,120,1.808,173.8,156.4
119-122,PO-9501,FL8865-STD,Kestrel Oil Filter,Standard,48,1.149,158.4,142.6
123-124,PO-9461,LT1002-HD,Lumen LED Headlight,Heavy Duty,24,0.266,26.7,24.0
125-132,PO-9498,SU5949-HD,Summit Shock Absorber,Heavy Duty,96,2.822,271.2,244.1
133-142,PO-9443,LT4178-CE,Lumen LED Headlight,Ceramic,120,1.207,456.9,411.2
143-150,PO-9438,IG6458-LH,Voltera Spark Plug Set,Left Hand,96,2.056,67.5,60.8
151-166,PO-9456,LT5504-OE,Lumen LED Headlight,OE Spec,200,1.991,237.5,213.8
167-167,PO-9405,BD6805-HD,Ridgeline Side Mirror Set,Heavy Duty,12,0.301,43.8,39.4
168-169,PO-9537,DR8929-PF,Torqueline Drive Chain,Performance,24,0.159,37.7,33.9
170-173,PO-9494,IG4479-PF,Voltera Spark Plug Set,Performance,48,1.322,83.0,74.7
174-181,PO-9514,FL6835-HD,Kestrel Oil Filter,Heavy Duty,96,1.112,65.7,59.1
182-183,PO-9474,DR6015-CE,Torqueline Drive Chain,Ceramic,24,0.481,45.5,41.0
184-185,PO-9417,DR5737-BK,Torqueline Drive Chain,Black,24,0.473,79.4,71.5

TOTAL,,,,,2236,34.240,4621.1,4159.2
Total cartons,185,,,,,,,
