Packing List,PL-100094,,,,,,,
Booking,NW2694,Container,NWMU5722654,ETD,2026-06-28,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-2,PO-9443,LT1661-BK,Lumen LED Headlight,Black,24,0.558,64.5,58.1
3-4,PO-9530,BD4800-OE,Ridgeline Side Mirror Set,OE Spec,24,0.548,27.7,24.9
5-14,PO-9456,SU3705-CR,Summit Shock Absorber,Chrome,120,0.776,199.7,179.7
15-22,PO-9487,IG5892-CR,Voltera Spark Plug Set,Chrome,96,1.200,137.1,123.4
23-32,PO-9535,FL5057-LH,Kestrel Oil Filter,Left Hand,120,0.318,380.4,342.4
33-40,PO-9527,LT4258-HD,Lumen LED Headlight,Heavy Duty,96,0.922,178.6,160.7
41-42,PO-9514,LT8779-BK,Lumen LED Headlight,Black,24,0.698,16.8,15.1
43-58,PO-9419,EL4776-CR,Voltera Battery 12V,Chrome,200,2.223,736.4,662.8
59-74,PO-9482,FL5685-BK,Kestrel Oil Filter,Black,200,2.467,214.8,193.3
75-76,PO-9535,BR4863-OE,Apex Brake Pad Set,OE Spec,24,0.296,58.2,52.4
77-80,PO-9507,DR5925-RH,Torqueline Drive Chain,Right Hand,48,0.256,108.4,97.6
81-90,PO-9418,IG8268-BK,Voltera Spark Plug Set,Black,120,2.286,160.1,144.1
91-94,PO-9528,LT9842-BK,Lumen LED Headlight,Black,48,0.848,71.5,64.4
95-102,PO-9400,SU8525-HD,Summit Shock Absorber,Heavy Duty,96,0.371,92.4,83.2
103-103,PO-9402,LT5514-BK,Lumen LED Headlight,Black,12,0.119,25.7,23.1
104-113,PO-9416,IG4400-RH,Voltera Spark Plug Set,Right Hand,120,3.382,251.8,226.6
114-129,PO-9502,IG5615-PF,Voltera Spark Plug Set,Performance,200,3.914,393.9,354.5
130-145,PO-9414,CO9048-LH,Ironbridge Radiator,Left Hand,200,1.753,702.1,631.9
146-149,PO-9506,EL4650-BK,Voltera Battery 12V,Black,48,0.580,166.5,149.8
150-151,PO-9457,CO4926-RH,Ironbridge Radiator,Right Hand,24,0.581,40.3,36.3
152-152,PO-9497,IG1459-HD,Voltera Spark Plug Set,Heavy Duty,12,0.295,17.5,15.8
153-154,PO-9415,CO8016-STD,Ironbridge Radiator,Standard,24,0.583,91.7,82.5
155-164,PO-9400,BD1736-RH,Ridgeline Side Mirror Set,Right Hand,120,2.319,103.5,93.2
165-166,PO-9499,BR4522-RH,Redhawk Brake Pad Set,Right Hand,24,0.298,12.9,11.6
167-176,PO-9438,BD6708-LH,Ridgeline Side Mirror Set,Left Hand,120,2.066,325.3,292.8
177-186,PO-9449,EL1565-PF,Voltera Battery 12V,Performance,120,0.446,348.1,313.3
187-194,PO-9400,BD8520-HD,Ridgeline Side Mirror Set,Heavy Duty,96,0.202,77.1,69.4
195-195,PO-9525,EL4252-CR,Voltera Battery 12V,Chrome,12,0.066,7.9,7.1
196-197,PO-9488,DR9375-CR,Torqueline Drive Chain,Chrome,24,0.532,61.5,55.4
198-213,PO-9512,BR2842-HD,Apex Brake Pad Set,Heavy Duty,200,5.117,79.8,71.8
214-215,PO-9430,BD3759-LH,Ridgeline Side Mirror Set,Left Hand,24,0.643,94.3,84.9
216-225,PO-9529,FL1159-LH,Kestrel Oil Filter,Left Hand,120,1.298,297.5,267.8
226-233,PO-9483,EL3400-CR,Voltera Battery 12V,Chrome,96,0.225,320.6,288.5
234-234,PO-9530,DR6614-RH,Torqueline Drive Chain,Right Hand,12,0.063,28.3,25.5
235-250,PO-9472,BR3473-LH,Redhawk Brake Pad Set,Left Hand,200,5.616,430.0,387.0
251-258,PO-9402,CO2708-STD,Ironbridge Radiator,Standard,96,2.446,148.4,133.6
259-268,PO-9442,BD6810-PF,Ridgeline Side Mirror Set,Performance,120,1.750,294.6,265.1

TOTAL,,,,,3264,48.061,6765.9,6089.6
Total cartons,268,,,,,,,
