Packing List,PL-100067,,,,,,,
Booking,NW2667,Container,CNTU4394683,ETD,2026-07-08,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-1,PO-9457,BD6166-STD,Ridgeline Side Mirror Set,Standard,12,0.187,33.3,30.0
2-2,PO-9431,EL9352-HD,Voltera Battery 12V,Heavy Duty,12,0.073,34.6,31.1
3-12,PO-9474,SU8584-OE,Summit Shock Absorber,OE Spec,120,3.525,245.2,220.7
13-16,PO-9496,FL7086-PF,Kestrel Oil Filter,Performance,48,0.788,129.3,116.4
17-24,PO-9485,FL1556-CR,Kestrel Oil Filter,Chrome,96,2.384,255.7,230.1
25-40,PO-9513,CO5998-STD,Ironbridge Radiator,Standard,200,3.143,306.8,276.1
41-48,PO-9509,CO4241-CR,Ironbridge Radiator,Chrome,96,1.156,347.9,313.1
49-52,PO-9528,BR4936-LH,Apex Brake Pad Set,Left Hand,48,0.924,21.6,19.4
53-62,PO-9504,DR5522-OE,Torqueline Drive Chain,OE Spec,120,2.447,152.9,137.6
63-64,PO-9411,LT7894-STD,Lumen LED Headlight,Standard,24,0.467,21.1,19.0
65-74,PO-9466,DR5183-PF,Torqueline Drive Chain,Performance,120,0.261,184.5,166.1
75-90,PO-9408,BR9229-OE,Apex Brake Pad Set,OE Spec,200,2.038,271.4,244.3
91-106,PO-9495,CO5923-OE,Ironbridge Radiator,OE Spec,200,5.448,792.4,713.2
107-110,PO-9425,BD5826-PF,Ridgeline Side Mirror Set,Performance,48,0.215,122.9,110.6
111-114,PO-9494,DR2638-CE,Torqueline Drive Chain,Ceramic,48,1.196,94.1,84.7
115-124,PO-9495,EL3636-CR,Voltera Battery 12V,Chrome,120,0.905,375.4,337.9

TOTAL,,,,,1512,25.157,3389.1,3050.3
Total cartons,124,,,,,,,
