Packing List,PL-100007,,,,,,,
Booking,NW2607,Container,CNTU2436857,ETD,2026-06-23,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-16,PO-9462,CO6321-OE,Ironbridge Radiator,OE Spec,200,2.504,74.4,67.0
17-26,PO-9459,IG1174-PF,Voltera Spark Plug Set,Performance,120,0.474,228.8,205.9
27-34,PO-9420,FL9137-HD,Kestrel Oil Filter,Heavy Duty,96,2.791,188.0,169.2
35-38,PO-9429,EL4694-STD,Voltera Battery 12V,Standard,48,1.108,152.9,137.6
39-42,PO-9520,FL4758-CR,Kestrel Oil Filter,Chrome,48,0.503,146.7,132.0
43-52,PO-9521,FL8515-STD,Kestrel Oil Filter,Standard,120,2.935,161.2,145.1
53-56,PO-9526,DR1675-LH,Torqueline Drive Chain,Left Hand,48,0.907,75.3,67.8
57-66,PO-9440,SU7629-LH,Summit Shock Absorber,Left Hand,120,0.527,184.8,166.3
67-67,PO-9499,BD4902-CR,Ridgeline Side Mirror Set,Chrome,12,0.054,28.4,25.6
68-71,PO-9405,EL3968-BK,Voltera Battery 12V,Black,48,0.928,178.8,160.9
72-72,PO-9421,IG8715-RH,Voltera Spark Plug Set,Right Hand,12,0.272,20.9,18.8
73-74,PO-9465,CO9689-RH,Ironbridge Radiator,Right Hand,24,0.357,77.2,69.5
75-76,PO-9426,FL4966-RH,Kestrel Oil Filter,Right Hand,24,0.279,37.6,33.8
77-77,PO-9490,IG2154-STD,Voltera Spark Plug Set,Standard,12,0.088,31.0,27.9

TOTAL,,,,,932,13.727,1586.0,1427.4
Total cartons,77,,,,,,,
