Packing List,PL-100000,,,,,,,
Booking,NW2600,Container,CNTU8012769,ETD,2026-09-21,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-8,PO-9529,EL9643-OE,Voltera Battery 12V,OE Spec,96,2.364,210.8,189.7
9-12,PO-9437,BR4805-STD,Apex Brake Pad Set,Standard,48,1.350,90.4,81.4
13-28,PO-9513,BR1558-RH,Redhawk Brake Pad Set,Right Hand,200,4.716,361.0,324.9
29-44,PO-9494,BD1380-BK,Ridgeline Side Mirror Set,Black,200,1.049,764.5,688.1
45-45,PO-9487,FL7575-HD,Kestrel Oil Filter,Heavy Duty,12,0.176,28.1,25.3
46-61,PO-9460,IG2222-PF,Voltera Spark Plug Set,Performance,200,0.608,700.8,630.7
62-62,PO-9499,SU4294-HD,Summit Shock Absorber,Heavy Duty,12,0.212,28.4,25.6
63-70,PO-9528,IG7320-CR,Voltera Spark Plug Set,Chrome,96,0.977,367.8,331.0
71-74,PO-9526,EL1046-RH,Voltera Battery 12V,Right Hand,48,0.132,31.0,27.9
75-84,PO-9481,FL2846-CR,Kestrel Oil Filter,Chrome,120,2.754,134.6,121.1
85-88,PO-9478,IG5026-LH,Voltera Spark Plug Set,Left Hand,48,0.562,120.5,108.5
89-90,PO-9409,IG9514-HD,Voltera Spark Plug Set,Heavy Duty,24,0.570,40.5,36.5
91-106,PO-9525,CO9292-PF,Ironbridge Radiator,Performance,200,3.707,713.5,642.1
107-108,PO-9504,SU8916-OE,Summit Shock Absorber,OE Spec,24,0.426,46.2,41.6
109-112,PO-9463,LT3795-STD,Lumen LED Headlight,Standard,48,0.981,20.6,18.5
113-128,PO-9522,FL1809-LH,Kestrel Oil Filter,Left Hand,200,5.435,787.8,709.0
129-144,PO-9493,IG3520-CR,Voltera Spark Plug Set,Chrome,200,3.083,765.1,688.6
145-154,PO-9435,CO9754-BK,Ironbridge Radiator,Black,120,3.273,247.7,222.9
155-162,PO-9406,IG5332-STD,Voltera Spark Plug Set,Standard,96,2.034,367.7,330.9
163-166,PO-9435,SU3187-RH,Summit Shock Absorber,Right Hand,48,1.014,147.9,133.1
167-167,PO-9436,FL2177-RH,Kestrel Oil Filter,Right Hand,12,0.087,32.1,28.9

TOTAL,,,,,2052,35.510,6007.0,5406.3
Total cartons,167,,,,,,,
