Packing List,PL-100075,,,,,,,
Booking,NW2675,Container,NWMU6615851,ETD,2026-07-10,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-10,PO-9453,CO9017-OE,Ironbridge Radiator,OE Spec,120,1.716,301.0,270.9
11-14,PO-9532,LT7305-OE,Lumen LED Headlight,OE Spec,48,0.402,61.7,55.5
15-15,PO-9533,SU1403-CR,Summit Shock Absorber,Chrome,12,0.141,25.6,23.0
16-19,PO-9416,DR7338-OE,Torqueline Drive Chain,OE Spec,48,1.369,191.1,172.0
20-23,PO-9492,DR9258-CR,Torqueline Drive Chain,Chrome,48,0.778,131.4,118.3
24-39,PO-9539,CO7012-OE,Ironbridge Radiator,OE Spec,200,2.074,402.4,362.2
40-40,PO-9428,IG8097-HD,Voltera Spark Plug Set,Heavy Duty,12,0.311,33.5,30.2
41-44,PO-9534,BR8994-OE,Apex Brake Pad Set,OE Spec,48,0.478,73.8,66.4
45-46,PO-9477,FL5406-HD,Kestrel Oil Filter,Heavy Duty,24,0.286,49.5,44.6
47-47,PO-9441,SU3433-CR,Summit Shock Absorber,Chrome,12,0.257,24.2,21.8
48-55,PO-9400,IG4695-RH,Voltera Spark Plug Set,Right Hand,96,1.776,45.9,41.3
56-71,PO-9502,EL4558-CR,Voltera Battery 12V,Chrome,200,2.559,139.6,125.6
72-79,PO-9452,FL1472-HD,Kestrel Oil Filter,Heavy Duty,96,2.153,57.0,51.3
80-89,PO-9529,BR1271-BK,Redhawk Brake Pad Set,Black,120,2.563,120.4,108.4
90-97,PO-9491,BD8220-RH,Ridgeline Side Mirror Set,Right Hand,96,0.486,179.8,161.8
98-101,PO-9486,CO6113-CE,Ironbridge Radiator,Ceramic,48,0.231,166.5,149.8
102-102,PO-9539,SU7328-HD,Summit Shock Absorber,Heavy Duty,12,0.149,37.3,33.6
103-110,PO-9504,BD1114-LH,Ridgeline Side Mirror Set,Left Hand,96,1.821,149.1,134.2
111-120,PO-9503,CO2942-OE,Ironbridge Radiator,OE Spec,120,1.620,37.5,33.8
121-124,PO-9431,CO6971-OE,Ironbridge Radiator,OE Spec,48,0.236,186.6,167.9
125-134,PO-9423,LT6695-RH,Lumen LED Headlight,Right Hand,120,2.722,422.8,380.5
135-150,PO-9455,CO7078-RH,Ironbridge Radiator,Right Hand,200,1.789,755.9,680.3
151-166,PO-9444,IG1017-STD,Voltera Spark Plug Set,Standard,200,4.372,661.6,595.4
167-182,PO-9509,FL8802-CR,Kestrel Oil Filter,Chrome,200,1.093,777.3,699.6
183-192,PO-9511,FL3702-HD,Kestrel Oil Filter,Heavy Duty,120,2.095,442.3,398.1
193-193,PO-9510,SU1036-LH,Summit Shock Absorber,Left Hand,12,0.240,43.5,39.1
194-203,PO-9474,EL2937-OE,Voltera Battery 12V,OE Spec,120,3.258,162.1,145.9
204-204,PO-9527,DR5039-PF,Torqueline Drive Chain,Performance,12,0.070,35.8,32.2
205-220,PO-9418,LT4355-STD,Lumen LED Headlight,Standard,200,5.910,597.4,537.7

TOTAL,,,,,2688,42.955,6312.6,5681.4
Total cartons,220,,,,,,,
