Packing List,PL-100047,,,,,,,
Booking,NW2647,Container,BOXU7774782,ETD,2026-07-22,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9478,SU1733-PF,Summit Shock Absorber,Performance,48,0.858,129.3,116.4
5-8,PO-9495,LT2767-RH,Lumen LED Headlight,Right Hand,48,0.719,107.4,96.7
9-12,PO-9460,BD1647-BK,Ridgeline Side Mirror Set,Black,48,0.417,97.6,87.8
13-13,PO-9517,BR1861-HD,Apex Brake Pad Set,Heavy Duty,12,0.254,20.3,18.3
14-14,PO-9536,SU7734-HD,Summit Shock Absorber,Heavy Duty,12,0.315,17.6,15.8
15-16,PO-9504,LT1238-CE,Lumen LED Headlight,Ceramic,24,0.718,72.0,64.8
17-18,PO-9500,EL8261-LH,Voltera Battery 12V,Left Hand,24,0.165,29.7,26.7
19-26,PO-9451,SU7222-CE,Summit Shock Absorber,Ceramic,96,2.359,197.4,177.7
27-30,PO-9509,IG2068-HD,Voltera Spark Plug Set,Heavy Duty,48,1.105,93.2,83.9
31-40,PO-9483,IG3390-BK,Voltera Spark Plug Set,Black,120,2.680,447.4,402.7
41-56,PO-9481,SU3590-LH,Summit Shock Absorber,Left Hand,200,4.093,621.0,558.9
57-66,PO-9475,DR7938-PF,Torqueline Drive Chain,Performance,120,0.820,129.5,116.5
67-76,PO-9476,LT7484-LH,Lumen LED Headlight,Left Hand,120,3.310,388.1,349.3
77-78,PO-9414,FL9934-RH,Kestrel Oil Filter,Right Hand,24,0.355,45.8,41.2
79-94,PO-9463,EL4711-OE,Voltera Battery 12V,OE Spec,200,2.438,635.8,572.2
95-98,PO-9538,BD2430-BK,Ridgeline Side Mirror Set,Black,48,1.422,87.8,79.0
99-102,PO-9520,BD3897-HD,Ridgeline Side Mirror Set,Heavy Duty,48,1.131,53.8,48.4
103-118,PO-9488,BR6548-HD,Apex Brake Pad Set,Heavy Duty,200,3.694,167.9,151.1
119-134,PO-9401,BD5913-CR,Ridgeline Side Mirror Set,Chrome,200,3.717,455.9,410.3
135-150,PO-9436,FL4615-CE,Kestrel Oil Filter,Ceramic,200,1.206,697.4,627.7
151-154,PO-9419,IG2225-RH,Voltera Spark Plug Set,Right Hand,48,0.948,21.9,19.7
155-156,PO-9498,CO3131-CE,Ironbridge Radiator,Ceramic,24,0.285,30.3,27.3

TOTAL,,,,,1912,33.009,4547.1,4092.4
Total cartons,156,,,,,,,
