Packing List,PL-100088,,,,,,,
Booking,NW2688,Container,NWMU6680499,ETD,2026-07-13,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-10,PO-9434,DR4868-CE,Torqueline Drive Chain,Ceramic,120,2.095,145.0,130.5
11-26,PO-9471,DR5101-STD,Torqueline Drive Chain,Standard,200,3.441,356.5,320.9
27-34,PO-9530,BR5120-LH,Apex Brake Pad Set,Left Hand,96,2.418,48.1,43.3
35-44,PO-9413,IG9702-OE,Voltera Spark Plug Set,OE Spec,120,1.848,402.0,361.8
45-52,PO-9530,SU7510-CR,Summit Shock Absorber,Chrome,96,0.553,184.3,165.9
53-60,PO-9496,SU3000-STD,Summit Shock Absorber,Standard,96,1.841,65.4,58.9
61-61,PO-9447,CO8219-CE,Ironbridge Radiator,Ceramic,12,0.279,18.6,16.7
62-62,PO-9442,IG4140-HD,Voltera Spark Plug Set,Heavy Duty,12,0.122,12.0,10.8
63-66,PO-9407,BR2135-RH,Apex Brake Pad Set,Right Hand,48,0.834,133.2,119.9
67-82,PO-9515,EL9026-CR,Voltera Battery 12V,Chrome,200,1.518,454.1,408.7
83-83,PO-9447,IG5493-CR,Voltera Spark Plug Set,Chrome,12,0.155,39.4,35.5
84-91,PO-9404,SU9524-PF,Summit Shock Absorber,Performance,96,2.047,208.5,187.7
92-107,PO-9476,BD8202-LH,Ridgeline Side Mirror Set,Left Hand,200,1.185,501.3,451.2
108-115,PO-9465,FL7737-BK,Kestrel Oil Filter,Black,96,2.630,165.1,148.6
116-119,PO-9522,CO2522-CR,Ironbridge Radiator,Chrome,48,0.202,49.3,44.4
120-123,PO-9472,SU7131-CE,Summit Shock Absorber,Ceramic,48,1.337,182.7,164.4
124-131,PO-9429,CO6114-CR,Ironbridge Radiator,Chrome,96,2.281,254.9,229.4
132-139,PO-9484,BR2843-HD,Redhawk Brake Pad Set,Heavy Duty,96,2.806,228.8,205.9
140-141,PO-9466,LT4596-PF,Lumen LED Headlight,Performance,24,0.176,57.4,51.7
142-151,PO-9448,BR4897-LH,Redhawk Brake Pad Set,Left Hand,120,1.971,328.0,295.2
152-159,PO-9409,CO4202-LH,Ironbridge Radiator,Left Hand,96,1.338,333.4,300.1
160-161,PO-9402,CO1993-PF,Ironbridge Radiator,Performance,24,0.152,51.4,46.3
162-165,PO-9418,CO2855-PF,Ironbridge Radiator,Performance,48,0.945,93.1,83.8
166-175,PO-9518,LT8491-PF,Lumen LED Headlight,Performance,120,3.354,288.1,259.3
176-179,PO-9487,DR7291-BK,Torqueline Drive Chain,Black,48,0.392,118.2,106.4
180-189,PO-9467,IG9095-CE,Voltera Spark Plug Set,Ceramic,120,1.217,286.5,257.9
190-199,PO-9509,IG8871-OE,Voltera Spark Plug Set,OE Spec,120,2.654,350.6,315.5
200-200,PO-9531,IG2187-BK,Voltera Spark Plug Set,Black,12,0.295,35.9,32.3
201-210,PO-9408,BR9032-HD,Apex Brake Pad Set,Heavy Duty,120,1.323,94.7,85.2
211-226,PO-9503,SU4134-CR,Summit Shock Absorber,Chrome,200,3.116,691.7,622.5
227-234,PO-9502,EL3837-HD,Voltera Battery 12V,Heavy Duty,96,1.918,279.9,251.9
235-242,PO-9417,FL8874-CE,Kestrel Oil Filter,Ceramic,96,1.042,141.1,127.0
243-250,PO-9433,LT9891-HD,Lumen LED Headlight,Heavy Duty,96,2.286,185.8,167.2
251-260,PO-9463,IG7069-CE,Voltera Spark Plug Set,Ceramic,120,0.922,157.4,141.7
261-261,PO-9514,SU1437-HD,Summit Shock Absorber,Heavy Duty,12,0.220,30.1,27.1
262-263,PO-9415,BD5946-CR,Ridgeline Side Mirror Set,Chrome,24,0.112,47.2,42.5
264-273,PO-9475,BD8990-STD,Ridgeline Side Mirror Set,Standard,120,3.404,311.1,280.0
274-283,PO-9430,SU6137-CR,Summit Shock Absorber,Chrome,120,3.062,278.8,250.9
284-287,PO-9528,FL4309-PF,Kestrel Oil Filter,Performance,48,0.384,80.5,72.5

TOTAL,,,,,3476,57.875,7690.1,6921.5
Total cartons,287,,,,,,,
