Packing List,PL-100095,,,,,,,
Booking,NW2695,Container,CNTU7171667,ETD,2026-06-17,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-2,PO-9433,IG9859-BK,Voltera Spark Plug Set,Black,24,0.560,62.4,56.2
3-4,PO-9499,BR5559-STD,Redhawk Brake Pad Set,Standard,24,0.300,42.8,38.5
5-5,PO-9509,BD6292-PF,Ridgeline Side Mirror Set,Performance,12,0.256,19.8,17.8
6-7,PO-9472,BD9884-CE,Ridgeline Side Mirror Set,Ceramic,24,0.196,59.9,53.9
8-9,PO-9465,CO2275-HD,Ironbridge Radiator,Heavy Duty,24,0.074,33.9,30.5
10-13,PO-9418,BR1873-OE,Redhawk Brake Pad Set,OE Spec,48,0.483,187.2,168.5
14-21,PO-9408,EL5805-PF,Voltera Battery 12V,Performance,96,1.394,165.1,148.6
22-31,PO-9447,BD5649-STD,Ridgeline Side Mirror Set,Standard,120,2.601,40.8,36.7
32-41,PO-9423,LT6918-HD,Lumen LED Headlight,Heavy Duty,120,0.492,230.7,207.6
42-43,PO-9443,EL1930-PF,Voltera Battery 12V,Performance,24,0.117,76.7,69.0
44-59,PO-9537,IG4008-BK,Voltera Spark Plug Set,Black,200,5.957,541.3,487.2
60-75,PO-9461,BD9009-STD,Ridgeline Side Mirror Set,Standard,200,2.964,267.0,240.3
76-85,PO-9491,DR1863-LH,Torqueline Drive Chain,Left Hand,120,3.329,145.5,131.0
86-93,PO-9465,BD1013-RH,Ridgeline Side Mirror Set,Right Hand,96,1.101,127.0,114.3
94-95,PO-9425,FL1752-CE,Kestrel Oil Filter,Ceramic,24,0.335,57.8,52.0
96-111,PO-9426,SU3991-OE,Summit Shock Absorber,OE Spec,200,1.903,470.9,423.8
112-121,PO-9428,CO4818-RH,Ironbridge Radiator,Right Hand,120,0.674,284.4,256.0
122-122,PO-9461,LT2901-LH,Lumen LED Headlight,Left Hand,12,0.032,34.6,31.1
123-132,PO-9504,DR4183-HD,Torqueline Drive Chain,Heavy Duty,120,2.717,464.1,417.7

TOTAL,,,,,1608,25.485,3311.9,2980.7
Total cartons,132,,,,,,,
