Packing List,PL-100026,,,,,,,
Booking,NW2626,Container,BOXU2605804,ETD,2026-08-21,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9499,CO8218-LH,Ironbridge Radiator,Left Hand,48,0.105,18.3,16.5
5-5,PO-9475,BD4128-OE,Ridgeline Side Mirror Set,OE Spec,12,0.118,33.7,30.3
6-13,PO-9501,LT7954-PF,Lumen LED Headlight,Performance,96,1.418,49.9,44.9
14-17,PO-9448,EL7972-CE,Voltera Battery 12V,Ceramic,48,0.254,168.8,151.9
18-19,PO-9490,CO7257-LH,Ironbridge Radiator,Left Hand,24,0.602,54.1,48.7
20-21,PO-9515,IG6432-LH,Voltera Spark Plug Set,Left Hand,24,0.345,27.4,24.7
22-37,PO-9505,SU8922-BK,Summit Shock Absorber,Black,200,3.966,397.5,357.8
38-47,PO-9490,SU9852-PF,Summit Shock Absorber,Performance,120,0.958,458.4,412.6
48-57,PO-9523,CO9966-RH,Ironbridge Radiator,Right Hand,120,2.885,218.0,196.2
58-61,PO-9519,DR8218-CR,Torqueline Drive Chain,Chrome,48,1.241,114.1,102.7
62-65,PO-9487,CO3526-HD,Ironbridge Radiator,Heavy Duty,48,1.070,102.3,92.1
66-73,PO-9496,IG2671-RH,Voltera Spark Plug Set,Right Hand,96,1.462,139.8,125.8
74-83,PO-9505,SU9624-LH,Summit Shock Absorber,Left Hand,120,3.099,106.1,95.5
84-87,PO-9428,BR9814-RH,Apex Brake Pad Set,Right Hand,48,0.189,131.3,118.2
88-103,PO-9478,FL2847-BK,Kestrel Oil Filter,Black,200,4.994,432.0,388.8
104-105,PO-9523,DR4752-RH,Torqueline Drive Chain,Right Hand,24,0.701,18.3,16.5
106-106,PO-9533,FL7129-PF,Kestrel Oil Filter,Performance,12,0.347,5.2,4.7
107-116,PO-9483,CO1524-OE,Ironbridge Radiator,OE Spec,120,3.468,141.9,127.7
117-118,PO-9428,EL1908-STD,Voltera Battery 12V,Standard,24,0.132,37.9,34.1
119-122,PO-9416,BR6223-HD,Apex Brake Pad Set,Heavy Duty,48,0.103,57.7,51.9
123-126,PO-9469,BR8935-OE,Apex Brake Pad Set,OE Spec,48,1.011,164.6,148.1

TOTAL,,,,,1528,28.468,2877.3,2589.7
Total cartons,126,,,,,,,
