Packing List,PL-100005,,,,,,,
Booking,NW2605,Container,CNTU9136484,ETD,2026-09-14,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-8,PO-9405,BR9836-LH,Apex Brake Pad Set,Left Hand,96,2.189,125.6,113.0
9-18,PO-9518,BR2323-BK,Redhawk Brake Pad Set,Black,120,3.437,208.0,187.2
19-34,PO-9410,BR3161-CE,Apex Brake Pad Set,Ceramic,200,2.178,196.2,176.6
35-44,PO-9533,BR4688-CE,Apex Brake Pad Set,Ceramic,120,3.091,208.6,187.7
45-52,PO-9534,FL6681-CE,Kestrel Oil Filter,Ceramic,96,2.058,306.5,275.9
53-56,PO-9487,EL4994-BK,Voltera Battery 12V,Black,48,0.191,186.5,167.8
57-58,PO-9501,SU3692-STD,Summit Shock Absorber,Standard,24,0.584,70.0,63.0
59-66,PO-9418,BD3356-STD,Ridgeline Side Mirror Set,Standard,96,2.825,362.6,326.3
67-68,PO-9457,LT8833-STD,Lumen LED Headlight,Standard,24,0.481,65.6,59.0
69-76,PO-9433,SU6699-LH,Summit Shock Absorber,Left Hand,96,1.036,336.0,302.4
77-80,PO-9446,CO6584-CE,Ironbridge Radiator,Ceramic,48,0.579,80.2,72.2
81-90,PO-9504,LT4611-OE,Lumen LED Headlight,OE Spec,120,1.109,276.7,249.0
91-100,PO-9409,DR8544-PF,Torqueline Drive Chain,Performance,120,0.270,305.0,274.5
101-108,PO-9532,EL8149-RH,Voltera Battery 12V,Right Hand,96,2.468,83.7,75.3
109-118,PO-9410,SU6594-PF,Summit Shock Absorber,Performance,120,3.173,265.7,239.1
119-128,PO-9431,FL5659-CR,Kestrel Oil Filter,Chrome,120,1.672,153.9,138.5
129-132,PO-9417,LT6384-OE,Lumen LED Headlight,OE Spec,48,0.729,134.0,120.6
133-140,PO-9511,EL6859-LH,Voltera Battery 12V,Left Hand,96,0.664,281.4,253.3
141-142,PO-9525,SU2301-CR,Summit Shock Absorber,Chrome,24,0.703,79.4,71.5
143-146,PO-9474,IG8753-HD,Voltera Spark Plug Set,Heavy Duty,48,1.285,157.8,142.0
147-148,PO-9457,DR9532-HD,Torqueline Drive Chain,Heavy Duty,24,0.302,57.9,52.1
149-152,PO-9405,DR3842-LH,Torqueline Drive Chain,Left Hand,48,1.006,155.9,140.3
153-160,PO-9443,CO2184-CE,Ironbridge Radiator,Ceramic,96,0.500,300.0,270.0

TOTAL,,,,,1928,32.530,4397.2,3957.3
Total cartons,160,,,,,,,
