Packing List,PL-100038,,,,,,,
Booking,NW2638,Container,NWMU8356863,ETD,2026-06-22,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-8,PO-9467,CO1619-CR,Ironbridge Radiator,Chrome,96,0.292,299.0,269.1
9-24,PO-9441,IG9618-STD,Voltera Spark Plug Set,Standard,200,2.939,308.3,277.5
25-34,PO-9450,LT8241-STD,Lumen LED Headlight,Standard,120,1.207,346.2,311.6
35-36,PO-9421,CO2178-BK,Ironbridge Radiator,Black,24,0.146,40.6,36.5
37-46,PO-9458,FL1871-BK,Kestrel Oil Filter,Black,120,3.591,231.5,208.3
47-50,PO-9471,BR5886-STD,Apex Brake Pad Set,Standard,48,1.185,42.4,38.2
51-66,PO-9432,BR7992-HD,Apex Brake Pad Set,Heavy Duty,200,4.483,472.9,425.6
67-68,PO-9525,CO8508-LH,Ironbridge Radiator,Left Hand,24,0.407,47.6,42.8
69-69,PO-9501,CO9474-PF,Ironbridge Radiator,Performance,12,0.168,8.6,7.7
70-71,PO-9431,FL4667-STD,Kestrel Oil Filter,Standard,24,0.562,41.7,37.5
72-81,PO-9507,LT1024-CR,Lumen LED Headlight,Chrome,120,3.433,37.6,33.8
82-85,PO-9466,SU6748-PF,Summit Shock Absorber,Performance,48,0.216,45.0,40.5
86-89,PO-9529,CO5352-CR,Ironbridge Radiator,Chrome,48,0.588,40.9,36.8
90-90,PO-9482,EL3944-BK,Voltera Battery 12V,Black,12,0.143,33.7,30.3
91-100,PO-9457,BD2800-HD,Ridgeline Side Mirror Set,Heavy Duty,120,1.846,246.0,221.4
101-110,PO-9513,CO1111-OE,Ironbridge Radiator,OE Spec,120,0.362,212.5,191.2
111-111,PO-9462,EL2753-BK,Voltera Battery 12V,Black,12,0.355,6.5,5.9
112-112,PO-9527,LT6596-LH,Lumen LED Headlight,Left Hand,12,0.150,34.7,31.2
113-114,PO-9502,LT2941-OE,Lumen LED Headlight,OE Spec,24,0.246,80.8,72.7
115-124,PO-9457,EL2014-CE,Voltera Battery 12V,Ceramic,120,1.613,336.8,303.1
125-126,PO-9447,FL5401-RH,Kestrel Oil Filter,Right Hand,24,0.162,7.9,7.1
127-142,PO-9419,SU5844-PF,Summit Shock Absorber,Performance,200,1.524,756.8,681.1
143-152,PO-9476,IG9840-CE,Voltera Spark Plug Set,Ceramic,120,1.074,177.7,159.9
153-153,PO-9403,BD3040-CE,Ridgeline Side Mirror Set,Ceramic,12,0.346,26.8,24.1
154-163,PO-9457,LT3938-OE,Lumen LED Headlight,OE Spec,120,0.515,123.9,111.5
164-173,PO-9537,IG1061-STD,Voltera Spark Plug Set,Standard,120,0.438,418.2,376.4
174-183,PO-9473,SU9966-PF,Summit Shock Absorber,Performance,120,3.510,156.8,141.1

TOTAL,,,,,2220,31.501,4581.4,4122.9
Total cartons,183,,,,,,,
