Packing List,PL-100079,,,,,,,
Booking,NW2679,Container,SEAU3968239,ETD,2026-06-05,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-16,PO-9537,BD9302-CE,Ridgeline Side Mirror Set,Ceramic,200,2.061,510.4,459.4
17-18,PO-9463,SU4638-LH,Summit Shock Absorber,Left Hand,24,0.210,26.4,23.8
19-34,PO-9445,BD3555-CR,Ridgeline Side Mirror Set,Chrome,200,1.391,493.5,444.2
35-35,PO-9416,IG8773-HD,Voltera Spark Plug Set,Heavy Duty,12,0.044,32.1,28.9
36-39,PO-9479,LT4393-CR,Lumen LED Headlight,Chrome,48,0.252,151.5,136.3
40-47,PO-9454,SU3464-CR,Summit Shock Absorber,Chrome,96,1.974,135.1,121.6
48-63,PO-9467,CO2797-LH,Ironbridge Radiator,Left Hand,200,1.525,582.7,524.4
64-65,PO-9511,SU9978-LH,Summit Shock Absorber,Left Hand,24,0.352,49.9,44.9
66-81,PO-9449,FL6408-CR,Kestrel Oil Filter,Chrome,200,5.608,727.0,654.3
82-97,PO-9463,BR7390-PF,Redhawk Brake Pad Set,Performance,200,2.152,418.7,376.8
98-105,PO-9469,BR5749-CR,Redhawk Brake Pad Set,Chrome,96,0.203,168.5,151.7
106-121,PO-9503,LT6801-RH,Lumen LED Headlight,Right Hand,200,3.693,663.2,596.9
122-131,PO-9437,SU9401-PF,Summit Shock Absorber,Performance,120,1.671,380.1,342.1
132-139,PO-9451,LT6720-RH,Lumen LED Headlight,Right Hand,96,2.472,381.7,343.5
140-155,PO-9444,SU1086-CE,Summit Shock Absorber,Ceramic,200,3.852,285.9,257.3
156-156,PO-9492,BD6567-LH,Ridgeline Side Mirror Set,Left Hand,12,0.110,12.6,11.3
157-157,PO-9483,BR7356-BK,Redhawk Brake Pad Set,Black,12,0.183,43.7,39.3
158-165,PO-9402,EL2856-HD,Voltera Battery 12V,Heavy Duty,96,0.342,231.4,208.3
166-181,PO-9522,DR2309-RH,Torqueline Drive Chain,Right Hand,200,0.801,456.8,411.1
182-189,PO-9519,BD7167-CR,Ridgeline Side Mirror Set,Chrome,96,0.819,299.9,269.9
190-197,PO-9452,SU2179-PF,Summit Shock Absorber,Performance,96,2.463,172.7,155.4
198-199,PO-9508,SU5692-STD,Summit Shock Absorber,Standard,24,0.260,54.5,49.1
200-203,PO-9460,LT5880-PF,Lumen LED Headlight,Performance,48,0.998,154.0,138.6
204-207,PO-9487,EL6885-BK,Voltera Battery 12V,Black,48,1.253,85.6,77.0
208-217,PO-9415,BR7067-CR,Redhawk Brake Pad Set,Chrome,120,0.850,268.6,241.7
218-233,PO-9528,BD1365-CE,Ridgeline Side Mirror Set,Ceramic,200,3.172,554.7,499.2
234-237,PO-9455,CO1595-RH,Ironbridge Radiator,Right Hand,48,1.436,152.0,136.8
238-241,PO-9507,BD7820-CR,Ridgeline Side Mirror Set,Chrome,48,0.283,156.6,140.9
242-242,PO-9469,BR9354-LH,Redhawk Brake Pad Set,Left Hand,12,0.228,20.7,18.6
243-246,PO-9496,SU6865-BK,Summit Shock Absorber,Black,48,0.985,29.8,26.8
247-248,PO-9490,LT3002-CE,Lumen LED Headlight,Ceramic,24,0.432,56.9,51.2
249-258,PO-9446,FL4089-OE,Kestrel Oil Filter,OE Spec,120,0.390,237.8,214.0
259-274,PO-9477,LT6650-CE,Lumen LED Headlight,Ceramic,200,2.441,367.7,330.9
275-275,PO-9450,EL1656-STD,Voltera Battery 12V,Standard,12,0.330,38.7,34.8
276-279,PO-9473,BR6244-CR,Redhawk Brake Pad Set,Chrome,48,0.724,75.5,68.0
280-283,PO-9425,LT8356-OE,Lumen LED Headlight,OE Spec,48,0.273,21.6,19.4
284-291,PO-9494,CO5097-PF,Ironbridge Radiator,Performance,96,0.457,369.5,332.6
292-299,PO-9402,DR2166-CE,Torqueline Drive Chain,Ceramic,96,1.959,121.0,108.9
300-315,PO-9418,EL9778-OE,Voltera Battery 12V,OE Spec,200,5.728,431.2,388.1
316-319,PO-9404,FL8689-RH,Kestrel Oil Filter,Right Hand,48,0.465,39.7,35.7

TOTAL,,,,,3916,54.842,9459.9,8513.7
Total cartons,319,,,,,,,
