Packing List,PL-100001,,,,,,,
Booking,NW2601,Container,BOXU3122788,ETD,2026-08-18,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-2,PO-9496,CO4303-BK,Ironbridge Radiator,Black,24,0.465,23.3,21.0
3-3,PO-9501,BD3872-STD,Ridgeline Side Mirror Set,Standard,12,0.154,42.0,37.8
4-19,PO-9479,LT5833-LH,Lumen LED Headlight,Left Hand,200,0.635,347.8,313.0
20-29,PO-9482,FL9468-CR,Kestrel Oil Filter,Chrome,120,0.442,300.1,270.1
30-39,PO-9483,LT4298-CR,Lumen LED Headlight,Chrome,120,0.877,309.7,278.7
40-55,PO-9419,FL2201-LH,Kestrel Oil Filter,Left Hand,200,5.962,139.6,125.6
56-71,PO-9532,BD9405-STD,Ridgeline Side Mirror Set,Standard,200,4.010,387.6,348.8
72-73,PO-9410,CO5047-HD,Ironbridge Radiator,Heavy Duty,24,0.065,65.9,59.3
74-81,PO-9483,CO8975-RH,Ironbridge Radiator,Right Hand,96,2.336,170.5,153.5
82-89,PO-9455,FL8368-STD,Kestrel Oil Filter,Standard,96,0.657,161.3,145.2
90-97,PO-9534,SU1104-BK,Summit Shock Absorber,Black,96,1.229,247.1,222.4
98-101,PO-9423,DR3872-OE,Torqueline Drive Chain,OE Spec,48,1.273,141.6,127.4
102-111,PO-9518,BD2773-CE,Ridgeline Side Mirror Set,Ceramic,120,3.410,365.6,329.0
112-127,PO-9448,CO5274-OE,Ironbridge Radiator,OE Spec,200,2.278,534.8,481.3
128-137,PO-9439,BR9307-LH,Apex Brake Pad Set,Left Hand,120,1.094,411.3,370.2
138-153,PO-9519,SU7581-CE,Summit Shock Absorber,Ceramic,200,2.522,756.1,680.5
154-169,PO-9469,EL2621-CE,Voltera Battery 12V,Ceramic,200,1.376,344.6,310.1
170-173,PO-9494,SU1311-STD,Summit Shock Absorber,Standard,48,1.185,180.4,162.4
174-181,PO-9461,BD1124-STD,Ridgeline Side Mirror Set,Standard,96,1.826,277.6,249.8
182-183,PO-9494,FL3723-CE,Kestrel Oil Filter,Ceramic,24,0.353,86.6,77.9
184-184,PO-9462,CO4688-CR,Ironbridge Radiator,Chrome,12,0.128,22.1,19.9
185-185,PO-9448,BR3492-HD,Apex Brake Pad Set,Heavy Duty,12,0.170,40.6,36.5

TOTAL,,,,,2268,32.447,5356.2,4820.4
Total cartons,185,,,,,,,
