Packing List,PL-100058,,,,,,,
Booking,NW2658,Container,NWMU9120661,ETD,2026-06-08,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-2,PO-9404,CO5160-PF,Ironbridge Radiator,Performance,24,0.403,64.7,58.2
3-10,PO-9416,BD3488-HD,Ridgeline Side Mirror Set,Heavy Duty,96,1.157,234.9,211.4
11-20,PO-9432,BR1931-OE,Redhawk Brake Pad Set,OE Spec,120,2.658,248.9,224.0
21-28,PO-9422,BD7725-PF,Ridgeline Side Mirror Set,Performance,96,0.759,133.6,120.2
29-32,PO-9540,CO4129-CE,Ironbridge Radiator,Ceramic,48,0.119,143.0,128.7
33-36,PO-9531,CO9534-RH,Ironbridge Radiator,Right Hand,48,1.238,152.3,137.1
37-37,PO-9402,LT8588-HD,Lumen LED Headlight,Heavy Duty,12,0.178,5.0,4.5
38-45,PO-9462,BR4594-CR,Apex Brake Pad Set,Chrome,96,1.192,311.1,280.0
46-49,PO-9406,IG1277-RH,Voltera Spark Plug Set,Right Hand,48,0.243,112.5,101.2
50-59,PO-9498,EL9865-STD,Voltera Battery 12V,Standard,120,2.973,161.7,145.5
60-63,PO-9415,LT9990-CE,Lumen LED Headlight,Ceramic,48,0.649,181.1,163.0
64-79,PO-9472,BD5428-STD,Ridgeline Side Mirror Set,Standard,200,5.605,395.1,355.6
80-81,PO-9534,BD6996-BK,Ridgeline Side Mirror Set,Black,24,0.373,81.0,72.9
82-85,PO-9452,EL9952-STD,Voltera Battery 12V,Standard,48,0.357,56.1,50.5
86-101,PO-9420,SU1832-CR,Summit Shock Absorber,Chrome,200,4.100,255.4,229.9
102-109,PO-9430,CO4856-LH,Ironbridge Radiator,Left Hand,96,1.784,213.1,191.8
110-125,PO-9499,FL4793-PF,Kestrel Oil Filter,Performance,200,4.728,313.2,281.9
126-127,PO-9521,DR3758-STD,Torqueline Drive Chain,Standard,24,0.266,84.1,75.7
128-137,PO-9453,EL9227-CE,Voltera Battery 12V,Ceramic,120,3.369,167.2,150.5
138-145,PO-9452,EL4669-RH,Voltera Battery 12V,Right Hand,96,1.256,44.4,40.0
146-155,PO-9415,BD6021-OE,Ridgeline Side Mirror Set,OE Spec,120,1.233,266.3,239.7
156-156,PO-9519,LT3197-LH,Lumen LED Headlight,Left Hand,12,0.084,38.8,34.9
157-164,PO-9479,EL4034-CE,Voltera Battery 12V,Ceramic,96,0.416,45.7,41.1
165-168,PO-9460,DR4864-RH,Torqueline Drive Chain,Right Hand,48,1.151,30.3,27.3
169-172,PO-9425,LT9981-CE,Lumen LED Headlight,Ceramic,48,0.198,63.4,57.1
173-174,PO-9508,EL9186-STD,Voltera Battery 12V,Standard,24,0.660,48.3,43.5
175-182,PO-9430,FL5278-HD,Kestrel Oil Filter,Heavy Duty,96,1.273,284.5,256.1
183-183,PO-9496,EL9036-LH,Voltera Battery 12V,Left Hand,12,0.128,34.9,31.4
184-193,PO-9467,BR9107-CR,Apex Brake Pad Set,Chrome,120,1.454,393.0,353.7
194-197,PO-9470,IG6251-CE,Voltera Spark Plug Set,Ceramic,48,1.361,178.0,160.2

TOTAL,,,,,2388,41.365,4741.6,4267.6
Total cartons,197,,,,,,,
