Packing List,PL-100011,,,,,,,
Booking,NW2611,Container,CNTU6341478,ETD,2026-06-14,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9425,BR4121-HD,Apex Brake Pad Set,Heavy Duty,48,0.811,50.6,45.5
5-20,PO-9479,BD5584-LH,Ridgeline Side Mirror Set,Left Hand,200,2.931,95.9,86.3
21-30,PO-9481,IG5450-OE,Voltera Spark Plug Set,OE Spec,120,1.486,329.6,296.6
31-31,PO-9458,SU4102-STD,Summit Shock Absorber,Standard,12,0.071,31.4,28.3
32-47,PO-9433,IG8631-HD,Voltera Spark Plug Set,Heavy Duty,200,3.576,407.5,366.8
48-51,PO-9510,IG9281-CE,Voltera Spark Plug Set,Ceramic,48,0.204,173.9,156.5
52-67,PO-9463,LT7291-CR,Lumen LED Headlight,Chrome,200,5.606,318.3,286.5
68-69,PO-9413,BD7363-HD,Ridgeline Side Mirror Set,Heavy Duty,24,0.252,7.3,6.6
70-77,PO-9437,FL2781-BK,Kestrel Oil Filter,Black,96,1.337,312.7,281.4
78-85,PO-9430,FL7111-CR,Kestrel Oil Filter,Chrome,96,1.952,361.5,325.4
86-95,PO-9407,EL7972-OE,Voltera Battery 12V,OE Spec,120,2.707,355.1,319.6
96-103,PO-9487,IG7891-PF,Voltera Spark Plug Set,Performance,96,1.951,218.9,197.0
104-104,PO-9535,DR3325-LH,Torqueline Drive Chain,Left Hand,12,0.206,26.3,23.7
105-105,PO-9484,SU7650-CE,Summit Shock Absorber,Ceramic,12,0.053,25.7,23.1
106-121,PO-9506,LT7251-OE,Lumen LED Headlight,OE Spec,200,4.864,411.4,370.3
122-125,PO-9434,CO1925-STD,Ironbridge Radiator,Standard,48,0.779,74.9,67.4
126-135,PO-9416,EL7698-BK,Voltera Battery 12V,Black,120,2.023,96.5,86.9
136-145,PO-9414,SU3297-CR,Summit Shock Absorber,Chrome,120,2.422,289.8,260.8
146-153,PO-9401,BR7004-OE,Apex Brake Pad Set,OE Spec,96,0.243,302.5,272.2
154-169,PO-9518,BR8764-HD,Apex Brake Pad Set,Heavy Duty,200,3.458,684.7,616.2
170-171,PO-9457,CO4844-STD,Ironbridge Radiator,Standard,24,0.108,35.9,32.3
172-187,PO-9490,FL3576-HD,Kestrel Oil Filter,Heavy Duty,200,4.034,717.3,645.6
188-203,PO-9480,BD1192-CE,Ridgeline Side Mirror Set,Ceramic,200,3.345,643.0,578.7
204-219,PO-9442,CO9935-BK,Ironbridge Radiator,Black,200,1.337,97.9,88.1
220-223,PO-9468,EL5419-OE,Voltera Battery 12V,OE Spec,48,1.147,73.6,66.2
224-225,PO-9451,BR8927-OE,Apex Brake Pad Set,OE Spec,24,0.495,9.2,8.3
226-235,PO-9412,CO2380-OE,Ironbridge Radiator,OE Spec,120,3.592,454.3,408.9
236-245,PO-9532,CO5439-STD,Ironbridge Radiator,Standard,120,2.372,126.0,113.4
246-255,PO-9511,FL8159-BK,Kestrel Oil Filter,Black,120,3.372,75.2,67.7
256-263,PO-9531,BD9958-RH,Ridgeline Side Mirror Set,Right Hand,96,2.352,167.3,150.6
264-273,PO-9522,IG5206-RH,Voltera Spark Plug Set,Right Hand,120,0.352,207.7,186.9
274-281,PO-9410,LT9652-CE,Lumen LED Headlight,Ceramic,96,1.012,370.7,333.6
282-282,PO-9520,IG6324-CE,Voltera Spark Plug Set,Ceramic,12,0.222,27.4,24.7
283-292,PO-9435,BR2433-OE,Apex Brake Pad Set,OE Spec,120,1.510,368.3,331.5
293-294,PO-9456,CO4212-STD,Ironbridge Radiator,Standard,24,0.381,60.3,54.3
295-295,PO-9503,IG3849-HD,Voltera Spark Plug Set,Heavy Duty,12,0.144,39.8,35.8
296-311,PO-9464,LT2961-LH,Lumen LED Headlight,Left Hand,200,1.637,703.6,633.2

TOTAL,,,,,3804,64.344,8752.0,7876.9
Total cartons,311,,,,,,,
