Packing List,PL-100012,,,,,,,
Booking,NW2612,Container,NWMU1559167,ETD,2026-09-25,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-2,PO-9452,EL5119-LH,Voltera Battery 12V,Left Hand,24,0.131,47.9,43.1
3-12,PO-9538,FL5055-STD,Kestrel Oil Filter,Standard,120,2.450,428.8,385.9
13-28,PO-9518,CO6468-CE,Ironbridge Radiator,Ceramic,200,2.928,736.3,662.7
29-32,PO-9482,CO5118-PF,Ironbridge Radiator,Performance,48,1.269,150.2,135.2
33-34,PO-9464,BD5021-HD,Ridgeline Side Mirror Set,Heavy Duty,24,0.630,38.0,34.2
35-42,PO-9499,IG6919-PF,Voltera Spark Plug Set,Performance,96,1.561,264.8,238.3
43-50,PO-9500,BR2820-RH,Redhawk Brake Pad Set,Right Hand,96,1.734,306.5,275.9
51-51,PO-9495,EL6272-OE,Voltera Battery 12V,OE Spec,12,0.135,6.1,5.5
52-55,PO-9408,CO2009-LH,Ironbridge Radiator,Left Hand,48,1.135,28.9,26.0
56-71,PO-9529,BR6167-STD,Redhawk Brake Pad Set,Standard,200,2.062,313.1,281.8
72-79,PO-9405,SU4383-OE,Summit Shock Absorber,OE Spec,96,2.029,117.5,105.8
80-95,PO-9437,CO6759-CE,Ironbridge Radiator,Ceramic,200,2.991,310.3,279.3

TOTAL,,,,,1164,19.055,2748.4,2473.7
Total cartons,95,,,,,,,
