Packing List,PL-100014,,,,,,,
Booking,NW2614,Container,NWMU2932667,ETD,2026-08-10,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9414,SU2720-CE,Summit Shock Absorber,Ceramic,48,0.182,29.3,26.4
5-14,PO-9493,DR8676-RH,Torqueline Drive Chain,Right Hand,120,1.859,406.8,366.1
15-30,PO-9471,DR8204-BK,Torqueline Drive Chain,Black,200,4.450,777.4,699.7
31-32,PO-9438,SU4368-STD,Summit Shock Absorber,Standard,24,0.498,47.8,43.0
33-48,PO-9435,LT4623-BK,Lumen LED Headlight,Black,200,5.890,430.0,387.0
49-64,PO-9494,BR7125-OE,Redhawk Brake Pad Set,OE Spec,200,2.786,548.1,493.3
65-72,PO-9451,IG9861-RH,Voltera Spark Plug Set,Right Hand,96,2.004,309.5,278.6
73-74,PO-9403,FL2812-LH,Kestrel Oil Filter,Left Hand,24,0.584,26.3,23.7
75-78,PO-9510,CO7438-STD,Ironbridge Radiator,Standard,48,0.808,69.4,62.5
79-79,PO-9491,EL3244-CR,Voltera Battery 12V,Chrome,12,0.293,12.8,11.5
80-83,PO-9499,EL8037-LH,Voltera Battery 12V,Left Hand,48,0.416,48.4,43.6
84-85,PO-9472,CO8137-PF,Ironbridge Radiator,Performance,24,0.483,35.8,32.2
86-93,PO-9476,FL4347-RH,Kestrel Oil Filter,Right Hand,96,0.363,314.2,282.8
94-94,PO-9422,LT8640-LH,Lumen LED Headlight,Left Hand,12,0.287,14.0,12.6
95-95,PO-9449,LT1328-CE,Lumen LED Headlight,Ceramic,12,0.335,28.3,25.5
96-99,PO-9400,SU4702-HD,Summit Shock Absorber,Heavy Duty,48,1.109,158.2,142.4
100-100,PO-9523,SU3921-STD,Summit Shock Absorber,Standard,12,0.324,9.9,8.9
101-102,PO-9431,FL3099-STD,Kestrel Oil Filter,Standard,24,0.178,40.3,36.3
103-103,PO-9479,IG2068-CE,Voltera Spark Plug Set,Ceramic,12,0.064,7.6,6.8
104-107,PO-9439,BD7053-LH,Ridgeline Side Mirror Set,Left Hand,48,1.212,24.3,21.9
108-117,PO-9499,BD6555-HD,Ridgeline Side Mirror Set,Heavy Duty,120,1.467,389.8,350.8
118-133,PO-9486,EL1646-LH,Voltera Battery 12V,Left Hand,200,4.688,152.0,136.8
134-143,PO-9536,EL7598-OE,Voltera Battery 12V,OE Spec,120,1.616,362.0,325.8

TOTAL,,,,,1748,31.896,4242.2,3818.2
Total cartons,143,,,,,,,
