Packing List,PL-100087,,,,,,,
Booking,NW2687,Container,BOXU2786762,ETD,2026-08-11,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-16,PO-9528,BD4924-STD,Ridgeline Side Mirror Set,Standard,200,3.309,198.3,178.5
17-26,PO-9505,LT3994-STD,Lumen LED Headlight,Standard,120,3.130,246.7,222.0
27-42,PO-9456,SU4473-BK,Summit Shock Absorber,Black,200,0.717,129.8,116.8
43-43,PO-9539,LT5760-CE,Lumen LED Headlight,Ceramic,12,0.219,17.2,15.5
44-53,PO-9511,LT6631-STD,Lumen LED Headlight,Standard,120,3.277,428.0,385.2
54-55,PO-9523,BR4177-BK,Apex Brake Pad Set,Black,24,0.464,95.1,85.6
56-56,PO-9516,FL9079-HD,Kestrel Oil Filter,Heavy Duty,12,0.357,39.7,35.7
57-72,PO-9485,DR1169-LH,Torqueline Drive Chain,Left Hand,200,3.295,722.8,650.5
73-74,PO-9433,BD7502-OE,Ridgeline Side Mirror Set,OE Spec,24,0.201,65.3,58.8
75-84,PO-9414,BD6793-CE,Ridgeline Side Mirror Set,Ceramic,120,1.543,362.2,326.0
85-92,PO-9457,FL2536-BK,Kestrel Oil Filter,Black,96,0.911,142.7,128.4
93-100,PO-9512,BR5483-STD,Redhawk Brake Pad Set,Standard,96,0.914,315.6,284.0
101-102,PO-9533,CO6561-CR,Ironbridge Radiator,Chrome,24,0.182,93.9,84.5
103-104,PO-9540,BR1456-HD,Apex Brake Pad Set,Heavy Duty,24,0.287,80.8,72.7
105-108,PO-9525,SU2770-BK,Summit Shock Absorber,Black,48,0.672,94.8,85.3
109-112,PO-9438,FL5349-STD,Kestrel Oil Filter,Standard,48,0.843,143.3,129.0
113-120,PO-9497,SU1595-CR,Summit Shock Absorber,Chrome,96,0.832,211.2,190.1
121-122,PO-9477,FL4432-OE,Kestrel Oil Filter,OE Spec,24,0.316,33.9,30.5
123-123,PO-9500,BD3382-RH,Ridgeline Side Mirror Set,Right Hand,12,0.289,12.3,11.1
124-139,PO-9462,LT3971-LH,Lumen LED Headlight,Left Hand,200,2.185,81.1,73.0
140-147,PO-9442,FL9182-BK,Kestrel Oil Filter,Black,96,0.837,57.0,51.3
148-149,PO-9490,LT4094-OE,Lumen LED Headlight,OE Spec,24,0.717,16.1,14.5
150-165,PO-9420,IG3864-LH,Voltera Spark Plug Set,Left Hand,200,1.443,568.0,511.2
166-173,PO-9420,BR8482-CE,Apex Brake Pad Set,Ceramic,96,0.221,358.7,322.8
174-177,PO-9412,LT2731-HD,Lumen LED Headlight,Heavy Duty,48,0.424,124.2,111.8
178-181,PO-9522,BD4861-OE,Ridgeline Side Mirror Set,OE Spec,48,1.170,55.6,50.0
182-189,PO-9441,EL8554-HD,Voltera Battery 12V,Heavy Duty,96,2.513,284.2,255.8
190-193,PO-9522,LT7888-LH,Lumen LED Headlight,Left Hand,48,0.363,173.4,156.1
194-194,PO-9537,LT5664-HD,Lumen LED Headlight,Heavy Duty,12,0.050,20.9,18.8
195-198,PO-9453,DR2091-HD,Torqueline Drive Chain,Heavy Duty,48,0.534,140.2,126.2
199-200,PO-9513,LT1306-HD,Lumen LED Headlight,Heavy Duty,24,0.462,16.6,14.9
201-202,PO-9519,LT4836-LH,Lumen LED Headlight,Left Hand,24,0.292,77.8,70.0
203-203,PO-9455,FL6971-STD,Kestrel Oil Filter,Standard,12,0.168,21.2,19.1
204-219,PO-9435,IG6889-RH,Voltera Spark Plug Set,Right Hand,200,4.806,242.1,217.9
220-223,PO-9420,IG3356-STD,Voltera Spark Plug Set,Standard,48,1.158,141.3,127.2
224-224,PO-9447,SU3529-BK,Summit Shock Absorber,Black,12,0.120,21.9,19.7
225-234,PO-9469,FL4048-RH,Kestrel Oil Filter,Right Hand,120,0.599,126.9,114.2
235-235,PO-9540,IG2376-CR,Voltera Spark Plug Set,Chrome,12,0.245,11.2,10.1

TOTAL,,,,,2868,40.065,5972.0,5374.8
Total cartons,235,,,,,,,
