Packing List,PL-100052,,,,,,,
Booking,NW2652,Container,BOXU1223539,ETD,2026-08-26,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-16,PO-9439,EL9476-OE,Voltera Battery 12V,OE Spec,200,2.934,515.4,463.9
17-20,PO-9402,FL1158-CE,Kestrel Oil Filter,Ceramic,48,1.116,85.8,77.2
21-22,PO-9453,FL9589-PF,Kestrel Oil Filter,Performance,24,0.607,78.4,70.6
23-32,PO-9432,IG3694-PF,Voltera Spark Plug Set,Performance,120,0.355,82.0,73.8
33-34,PO-9465,EL4356-BK,Voltera Battery 12V,Black,24,0.331,83.4,75.1
35-44,PO-9495,BR1007-CE,Redhawk Brake Pad Set,Ceramic,120,3.156,139.5,125.5
45-48,PO-9471,SU5929-HD,Summit Shock Absorber,Heavy Duty,48,0.269,187.8,169.0
49-56,PO-9534,IG9137-RH,Voltera Spark Plug Set,Right Hand,96,2.044,322.3,290.1
57-66,PO-9534,IG9150-CE,Voltera Spark Plug Set,Ceramic,120,1.725,94.7,85.2
67-82,PO-9402,BD3626-RH,Ridgeline Side Mirror Set,Right Hand,200,3.471,462.2,416.0
83-84,PO-9487,LT3054-STD,Lumen LED Headlight,Standard,24,0.607,24.5,22.1
85-100,PO-9491,EL6293-LH,Voltera Battery 12V,Left Hand,200,1.780,185.5,167.0
101-108,PO-9437,DR8931-LH,Torqueline Drive Chain,Left Hand,96,1.628,236.5,212.8
109-112,PO-9448,SU2100-BK,Summit Shock Absorber,Black,48,1.089,120.4,108.4
113-113,PO-9515,IG5818-HD,Voltera Spark Plug Set,Heavy Duty,12,0.128,20.9,18.8
114-123,PO-9437,CO7024-RH,Ironbridge Radiator,Right Hand,120,3.071,362.3,326.1

TOTAL,,,,,1500,24.311,3001.6,2701.6
Total cartons,123,,,,,,,
