Packing List,PL-100064,,,,,,,
Booking,NW2664,Container,BOXU9010787,ETD,2026-09-02,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-8,PO-9416,IG1415-BK,Voltera Spark Plug Set,Black,96,2.707,149.2,134.3
9-10,PO-9404,LT9446-RH,Lumen LED Headlight,Right Hand,24,0.244,18.6,16.7
11-12,PO-9520,FL1895-CR,Kestrel Oil Filter,Chrome,24,0.559,31.0,27.9
13-13,PO-9465,BR5532-CR,Apex Brake Pad Set,Chrome,12,0.126,7.8,7.0
14-21,PO-9488,BD9029-OE,Ridgeline Side Mirror Set,OE Spec,96,1.699,186.2,167.6
22-23,PO-9502,BR9595-CR,Apex Brake Pad Set,Chrome,24,0.049,87.3,78.6
24-27,PO-9457,CO7855-RH,Ironbridge Radiator,Right Hand,48,0.483,38.7,34.8
28-31,PO-9405,LT2371-LH,Lumen LED Headlight,Left Hand,48,1.197,31.4,28.3
32-33,PO-9459,SU9094-PF,Summit Shock Absorber,Performance,24,0.712,72.9,65.6
34-34,PO-9440,CO6081-BK,Ironbridge Radiator,Black,12,0.296,42.2,38.0
35-50,PO-9419,CO9124-PF,Ironbridge Radiator,Performance,200,2.986,777.5,699.8
51-58,PO-9483,LT4187-CE,Lumen LED Headlight,Ceramic,96,1.710,189.8,170.8
59-66,PO-9491,CO6884-CE,Ironbridge Radiator,Ceramic,96,0.942,317.1,285.4
67-82,PO-9497,LT3956-CE,Lumen LED Headlight,Ceramic,200,2.858,132.2,119.0
83-98,PO-9529,CO2702-BK,Ironbridge Radiator,Black,200,4.292,131.4,118.3
99-108,PO-9432,DR9820-LH,Torqueline Drive Chain,Left Hand,120,1.504,396.6,356.9
109-124,PO-9511,LT2828-CR,Lumen LED Headlight,Chrome,200,2.793,565.1,508.6
125-125,PO-9408,SU6573-RH,Summit Shock Absorber,Right Hand,12,0.060,33.3,30.0
126-127,PO-9466,CO4663-OE,Ironbridge Radiator,OE Spec,24,0.315,29.5,26.6
128-137,PO-9480,SU8196-CE,Summit Shock Absorber,Ceramic,120,2.695,417.9,376.1
138-145,PO-9490,IG6103-STD,Voltera Spark Plug Set,Standard,96,0.199,264.1,237.7
146-155,PO-9454,IG3245-BK,Voltera Spark Plug Set,Black,120,0.747,377.5,339.8
156-156,PO-9464,EL1753-STD,Voltera Battery 12V,Standard,12,0.233,37.5,33.8
157-172,PO-9540,DR8194-STD,Torqueline Drive Chain,Standard,200,3.780,280.0,252.0
173-176,PO-9513,CO5463-BK,Ironbridge Radiator,Black,48,0.506,70.3,63.3
177-184,PO-9425,DR1557-LH,Torqueline Drive Chain,Left Hand,96,0.231,102.0,91.8
185-188,PO-9530,LT8325-CR,Lumen LED Headlight,Chrome,48,0.144,59.9,53.9
189-190,PO-9517,BD4691-BK,Ridgeline Side Mirror Set,Black,24,0.213,79.9,71.9
191-206,PO-9415,FL6573-HD,Kestrel Oil Filter,Heavy Duty,200,1.327,558.6,502.7
207-208,PO-9456,CO9498-BK,Ironbridge Radiator,Black,24,0.657,53.1,47.8
209-210,PO-9533,FL7076-STD,Kestrel Oil Filter,Standard,24,0.399,44.3,39.9
211-226,PO-9521,LT1358-CR,Lumen LED Headlight,Chrome,200,5.427,725.7,653.1
227-227,PO-9400,DR1075-STD,Torqueline Drive Chain,Standard,12,0.102,47.2,42.5
228-243,PO-9435,CO4428-PF,Ironbridge Radiator,Performance,200,4.609,442.2,398.0
244-244,PO-9478,IG3510-LH,Voltera Spark Plug Set,Left Hand,12,0.341,23.2,20.9
245-260,PO-9453,CO5441-PF,Ironbridge Radiator,Performance,200,1.199,120.0,108.0

TOTAL,,,,,3192,48.341,6941.2,6247.4
Total cartons,260,,,,,,,
