Packing List,PL-100054,,,,,,,
Booking,NW2654,Container,BOXU7068876,ETD,2026-06-10,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-1,PO-9437,LT1183-STD,Lumen LED Headlight,Standard,12,0.214,7.6,6.8
2-2,PO-9460,DR2248-BK,Torqueline Drive Chain,Black,12,0.243,34.8,31.3
3-6,PO-9476,CO1058-STD,Ironbridge Radiator,Standard,48,0.932,53.9,48.5
7-16,PO-9510,BD7985-LH,Ridgeline Side Mirror Set,Left Hand,120,1.198,101.4,91.3
17-17,PO-9485,SU5777-RH,Summit Shock Absorber,Right Hand,12,0.210,14.0,12.6
18-21,PO-9517,FL4851-CR,Kestrel Oil Filter,Chrome,48,0.569,50.6,45.5
22-22,PO-9430,EL5278-OE,Voltera Battery 12V,OE Spec,12,0.325,19.8,17.8
23-38,PO-9504,DR1453-STD,Torqueline Drive Chain,Standard,200,2.959,633.4,570.1
39-48,PO-9406,FL4568-BK,Kestrel Oil Filter,Black,120,1.159,295.5,265.9
49-64,PO-9534,IG5742-PF,Voltera Spark Plug Set,Performance,200,1.253,718.6,646.7
65-80,PO-9444,CO8030-HD,Ironbridge Radiator,Heavy Duty,200,1.396,183.6,165.2
81-81,PO-9423,BD2732-CE,Ridgeline Side Mirror Set,Ceramic,12,0.046,4.6,4.1
82-83,PO-9519,FL2644-STD,Kestrel Oil Filter,Standard,24,0.526,56.3,50.7
84-87,PO-9465,LT2217-CE,Lumen LED Headlight,Ceramic,48,0.393,19.0,17.1
88-89,PO-9488,IG4215-CE,Voltera Spark Plug Set,Ceramic,24,0.715,72.1,64.9
90-97,PO-9406,EL9545-LH,Voltera Battery 12V,Left Hand,96,1.875,196.1,176.5
98-107,PO-9456,IG3346-STD,Voltera Spark Plug Set,Standard,120,0.381,162.8,146.5
108-108,PO-9430,BD9485-CE,Ridgeline Side Mirror Set,Ceramic,12,0.046,5.0,4.5
109-116,PO-9494,SU8638-BK,Summit Shock Absorber,Black,96,1.266,277.5,249.8
117-132,PO-9524,FL1584-RH,Kestrel Oil Filter,Right Hand,200,4.654,400.2,360.2

TOTAL,,,,,1616,20.360,3306.8,2976.0
Total cartons,132,,,,,,,
