Packing List,PL-100041,,,,,,,
Booking,NW2641,Container,BOXU5029347,ETD,2026-06-28,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-1,PO-9519,BD3575-OE,Ridgeline Side Mirror Set,OE Spec,12,0.318,17.3,15.6
2-2,PO-9486,EL1246-HD,Voltera Battery 12V,Heavy Duty,12,0.106,6.9,6.2
3-10,PO-9537,LT2065-CE,Lumen LED Headlight,Ceramic,96,1.807,295.7,266.1
11-14,PO-9426,EL7819-RH,Voltera Battery 12V,Right Hand,48,1.210,177.6,159.8
15-15,PO-9406,IG2492-BK,Voltera Spark Plug Set,Black,12,0.310,31.6,28.4
16-31,PO-9432,LT6460-LH,Lumen LED Headlight,Left Hand,200,4.454,101.8,91.6
32-33,PO-9481,DR5980-OE,Torqueline Drive Chain,OE Spec,24,0.130,68.1,61.3
34-34,PO-9522,IG8426-CE,Voltera Spark Plug Set,Ceramic,12,0.219,33.8,30.4
35-36,PO-9490,LT1522-HD,Lumen LED Headlight,Heavy Duty,24,0.187,39.8,35.8
37-44,PO-9447,FL7426-RH,Kestrel Oil Filter,Right Hand,96,2.482,156.5,140.8
45-48,PO-9482,BD6006-HD,Ridgeline Side Mirror Set,Heavy Duty,48,1.216,29.8,26.8
49-50,PO-9471,BR4495-OE,Apex Brake Pad Set,OE Spec,24,0.128,17.9,16.1
51-52,PO-9466,DR4656-HD,Torqueline Drive Chain,Heavy Duty,24,0.382,41.5,37.4

TOTAL,,,,,632,12.949,1018.3,916.3
Total cartons,52,,,,,,,
