Packing List,PL-100025,,,,,,,
Booking,NW2625,Container,CNTU8876911,ETD,2026-09-12,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-2,PO-9421,BD5121-CR,Ridgeline Side Mirror Set,Chrome,24,0.453,75.4,67.9
3-10,PO-9475,CO8504-HD,Ironbridge Radiator,Heavy Duty,96,1.282,124.4,112.0
11-11,PO-9510,BD6531-PF,Ridgeline Side Mirror Set,Performance,12,0.237,32.0,28.8
12-21,PO-9425,IG1901-HD,Voltera Spark Plug Set,Heavy Duty,120,1.270,278.6,250.7
22-29,PO-9515,BR9450-OE,Redhawk Brake Pad Set,OE Spec,96,0.648,296.6,266.9
30-33,PO-9476,FL1149-OE,Kestrel Oil Filter,OE Spec,48,0.901,177.4,159.7
34-49,PO-9488,IG9065-PF,Voltera Spark Plug Set,Performance,200,4.648,363.9,327.5
50-57,PO-9471,CO4753-CR,Ironbridge Radiator,Chrome,96,0.747,234.9,211.4
58-73,PO-9403,SU1465-PF,Summit Shock Absorber,Performance,200,2.922,219.7,197.7
74-75,PO-9408,DR7909-PF,Torqueline Drive Chain,Performance,24,0.597,76.7,69.0
76-77,PO-9433,DR5218-STD,Torqueline Drive Chain,Standard,24,0.304,41.5,37.4
78-85,PO-9462,BD9464-CE,Ridgeline Side Mirror Set,Ceramic,96,1.994,291.8,262.6
86-93,PO-9453,BR9095-RH,Redhawk Brake Pad Set,Right Hand,96,2.241,149.8,134.8
94-94,PO-9439,IG4120-CR,Voltera Spark Plug Set,Chrome,12,0.360,45.9,41.3
95-102,PO-9478,BR7058-BK,Apex Brake Pad Set,Black,96,1.536,169.9,152.9
103-112,PO-9435,IG5421-HD,Voltera Spark Plug Set,Heavy Duty,120,2.982,459.9,413.9
113-116,PO-9435,DR9423-OE,Torqueline Drive Chain,OE Spec,48,0.819,112.0,100.8
117-117,PO-9404,SU8001-RH,Summit Shock Absorber,Right Hand,12,0.025,17.9,16.1

TOTAL,,,,,1420,23.966,3168.3,2851.4
Total cartons,117,,,,,,,
