Packing List,PL-100035,,,,,,,
Booking,NW2635,Container,BOXU7244025,ETD,2026-08-05,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-1,PO-9483,BD4439-BK,Ridgeline Side Mirror Set,Black,12,0.248,12.9,11.6
2-2,PO-9524,IG6184-OE,Voltera Spark Plug Set,OE Spec,12,0.086,22.3,20.1
3-3,PO-9517,IG2319-BK,Voltera Spark Plug Set,Black,12,0.103,42.3,38.1
4-7,PO-9437,FL1142-LH,Kestrel Oil Filter,Left Hand,48,0.681,150.4,135.4
8-17,PO-9474,IG3293-CE,Voltera Spark Plug Set,Ceramic,120,2.141,251.2,226.1
18-27,PO-9535,EL3780-OE,Voltera Battery 12V,OE Spec,120,2.391,287.6,258.8
28-43,PO-9488,CO7439-STD,Ironbridge Radiator,Standard,200,2.405,337.2,303.5
44-59,PO-9412,SU2596-OE,Summit Shock Absorber,OE Spec,200,2.665,688.5,619.6
60-63,PO-9446,DR9268-PF,Torqueline Drive Chain,Performance,48,1.086,96.3,86.7
64-79,PO-9489,CO6820-CE,Ironbridge Radiator,Ceramic,200,2.694,568.5,511.7
80-81,PO-9494,DR7285-RH,Torqueline Drive Chain,Right Hand,24,0.164,33.5,30.2
82-85,PO-9503,CO7485-BK,Ironbridge Radiator,Black,48,0.540,54.5,49.1
86-93,PO-9467,CO1948-BK,Ironbridge Radiator,Black,96,2.272,44.7,40.2
94-109,PO-9405,EL3013-BK,Voltera Battery 12V,Black,200,5.304,587.6,528.8
110-119,PO-9412,BD2951-CE,Ridgeline Side Mirror Set,Ceramic,120,1.374,197.9,178.1
120-127,PO-9538,CO8921-OE,Ironbridge Radiator,OE Spec,96,0.345,256.6,230.9
128-143,PO-9417,SU9562-LH,Summit Shock Absorber,Left Hand,200,1.789,267.0,240.3
144-153,PO-9458,LT3960-OE,Lumen LED Headlight,OE Spec,120,1.300,394.1,354.7
154-163,PO-9499,BD4740-CE,Ridgeline Side Mirror Set,Ceramic,120,0.450,87.3,78.6
164-167,PO-9480,LT1224-STD,Lumen LED Headlight,Standard,48,0.233,145.0,130.5
168-175,PO-9452,BR9080-HD,Apex Brake Pad Set,Heavy Duty,96,2.691,197.6,177.8
176-185,PO-9457,BD7390-CR,Ridgeline Side Mirror Set,Chrome,120,2.919,106.9,96.2
186-201,PO-9455,BD2271-STD,Ridgeline Side Mirror Set,Standard,200,3.613,406.5,365.9
202-202,PO-9492,DR6415-STD,Torqueline Drive Chain,Standard,12,0.266,37.2,33.5
203-212,PO-9537,DR4110-STD,Torqueline Drive Chain,Standard,120,2.540,435.2,391.7
213-222,PO-9474,IG6042-OE,Voltera Spark Plug Set,OE Spec,120,3.048,273.6,246.2
223-232,PO-9540,LT9587-CE,Lumen LED Headlight,Ceramic,120,2.006,360.6,324.5
233-240,PO-9452,IG6536-PF,Voltera Spark Plug Set,Performance,96,1.050,352.7,317.4
241-250,PO-9453,SU4146-PF,Summit Shock Absorber,Performance,120,2.173,146.6,131.9
251-266,PO-9461,IG3940-PF,Voltera Spark Plug Set,Performance,200,3.015,342.3,308.1

TOTAL,,,,,3248,51.592,7184.6,6466.2
Total cartons,266,,,,,,,
