Packing List,PL-100059,,,,,,,
Booking,NW2659,Container,BOXU5792354,ETD,2026-07-02,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9513,BD8627-BK,Ridgeline Side Mirror Set,Black,48,0.917,182.1,163.9
5-6,PO-9447,EL7274-RH,Voltera Battery 12V,Right Hand,24,0.644,45.4,40.9
7-14,PO-9460,FL3957-CR,Kestrel Oil Filter,Chrome,96,2.166,284.5,256.1
15-24,PO-9504,BD8686-BK,Ridgeline Side Mirror Set,Black,120,1.054,115.4,103.9
25-34,PO-9530,IG3162-HD,Voltera Spark Plug Set,Heavy Duty,120,0.951,448.5,403.7
35-38,PO-9514,SU3249-LH,Summit Shock Absorber,Left Hand,48,0.380,143.4,129.1
39-42,PO-9500,EL8519-RH,Voltera Battery 12V,Right Hand,48,0.238,71.1,64.0
43-43,PO-9540,BR4485-PF,Redhawk Brake Pad Set,Performance,12,0.207,5.4,4.9
44-51,PO-9434,BD4146-CR,Ridgeline Side Mirror Set,Chrome,96,1.120,163.7,147.3
52-55,PO-9484,DR6469-PF,Torqueline Drive Chain,Performance,48,1.208,51.5,46.4
56-59,PO-9440,IG2899-BK,Voltera Spark Plug Set,Black,48,0.381,143.1,128.8
60-61,PO-9516,CO3219-PF,Ironbridge Radiator,Performance,24,0.094,9.4,8.5
62-69,PO-9446,EL2654-CE,Voltera Battery 12V,Ceramic,96,2.092,61.4,55.3
70-73,PO-9441,BD6893-CR,Ridgeline Side Mirror Set,Chrome,48,1.318,154.6,139.1
74-74,PO-9432,LT7488-CE,Lumen LED Headlight,Ceramic,12,0.183,43.5,39.1
75-90,PO-9469,FL4690-CR,Kestrel Oil Filter,Chrome,200,3.891,290.7,261.6
91-98,PO-9433,EL7179-PF,Voltera Battery 12V,Performance,96,1.553,107.5,96.8
99-106,PO-9465,BR3893-CE,Redhawk Brake Pad Set,Ceramic,96,0.646,259.8,233.8
107-116,PO-9466,IG7011-CR,Voltera Spark Plug Set,Chrome,120,1.272,411.6,370.4
117-118,PO-9450,IG1165-HD,Voltera Spark Plug Set,Heavy Duty,24,0.361,25.8,23.2
119-120,PO-9403,LT8014-STD,Lumen LED Headlight,Standard,24,0.174,85.7,77.1
121-136,PO-9520,IG3674-LH,Voltera Spark Plug Set,Left Hand,200,1.396,271.7,244.5
137-138,PO-9491,DR1705-PF,Torqueline Drive Chain,Performance,24,0.468,70.5,63.5
139-139,PO-9486,FL3131-CE,Kestrel Oil Filter,Ceramic,12,0.186,32.2,29.0
140-141,PO-9491,CO7490-RH,Ironbridge Radiator,Right Hand,24,0.551,69.1,62.2
142-157,PO-9403,LT9929-RH,Lumen LED Headlight,Right Hand,200,4.369,276.0,248.4
158-161,PO-9532,DR1073-LH,Torqueline Drive Chain,Left Hand,48,0.471,52.6,47.3
162-169,PO-9493,EL5670-RH,Voltera Battery 12V,Right Hand,96,0.577,104.3,93.9
170-173,PO-9475,EL6214-CE,Voltera Battery 12V,Ceramic,48,0.557,36.6,32.9
174-175,PO-9413,EL3925-HD,Voltera Battery 12V,Heavy Duty,24,0.660,15.9,14.3
176-191,PO-9415,FL7838-HD,Kestrel Oil Filter,Heavy Duty,200,5.480,88.6,79.7
192-199,PO-9512,DR7523-HD,Torqueline Drive Chain,Heavy Duty,96,0.397,278.0,250.2

TOTAL,,,,,2420,35.962,4399.6,3959.8
Total cartons,199,,,,,,,
