Packing List,PL-100021,,,,,,,
Booking,NW2621,Container,BOXU7905006,ETD,2026-08-10,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-1,PO-9483,BR6069-PF,Apex Brake Pad Set,Performance,12,0.175,46.7,42.0
2-9,PO-9453,LT5258-PF,Lumen LED Headlight,Performance,96,0.805,277.9,250.1
10-17,PO-9468,IG6398-HD,Voltera Spark Plug Set,Heavy Duty,96,1.455,34.6,31.1
18-19,PO-9446,CO8510-OE,Ironbridge Radiator,OE Spec,24,0.117,43.1,38.8
20-27,PO-9535,FL1289-PF,Kestrel Oil Filter,Performance,96,1.814,39.3,35.4
28-43,PO-9405,FL7733-BK,Kestrel Oil Filter,Black,200,3.640,443.0,398.7
44-47,PO-9539,FL3172-CR,Kestrel Oil Filter,Chrome,48,0.218,105.4,94.9
48-63,PO-9438,BD9473-RH,Ridgeline Side Mirror Set,Right Hand,200,3.234,577.7,519.9
64-73,PO-9537,DR6832-CE,Torqueline Drive Chain,Ceramic,120,0.445,102.2,92.0
74-81,PO-9483,LT5097-LH,Lumen LED Headlight,Left Hand,96,0.202,171.1,154.0
82-83,PO-9436,DR8655-HD,Torqueline Drive Chain,Heavy Duty,24,0.283,86.4,77.8
84-84,PO-9475,BD3866-RH,Ridgeline Side Mirror Set,Right Hand,12,0.138,16.0,14.4
85-94,PO-9428,IG1492-BK,Voltera Spark Plug Set,Black,120,1.882,106.1,95.5
95-104,PO-9402,EL1388-OE,Voltera Battery 12V,OE Spec,120,1.202,64.2,57.8
105-106,PO-9415,IG3848-LH,Voltera Spark Plug Set,Left Hand,24,0.443,38.5,34.6
107-110,PO-9460,DR4409-PF,Torqueline Drive Chain,Performance,48,1.286,117.1,105.4
111-111,PO-9505,DR6378-RH,Torqueline Drive Chain,Right Hand,12,0.214,8.9,8.0
112-113,PO-9427,EL9781-BK,Voltera Battery 12V,Black,24,0.326,80.4,72.4
114-123,PO-9412,BD9090-CR,Ridgeline Side Mirror Set,Chrome,120,0.369,444.6,400.1
124-125,PO-9502,CO3041-CR,Ironbridge Radiator,Chrome,24,0.553,73.6,66.2
126-126,PO-9400,DR2199-CR,Torqueline Drive Chain,Chrome,12,0.267,6.8,6.1
127-128,PO-9534,BR4928-BK,Apex Brake Pad Set,Black,24,0.681,8.7,7.8
129-144,PO-9437,SU5184-CR,Summit Shock Absorber,Chrome,200,3.458,638.9,575.0

TOTAL,,,,,1752,23.207,3531.2,3178.0
Total cartons,144,,,,,,,
