Packing List,PL-100004,,,,,,,
Booking,NW2604,Container,SEAU4076450,ETD,2026-07-24,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-8,PO-9524,EL3734-STD,Voltera Battery 12V,Standard,96,2.642,58.9,53.0
9-12,PO-9400,BR2026-STD,Redhawk Brake Pad Set,Standard,48,0.796,142.6,128.3
13-16,PO-9512,FL9003-RH,Kestrel Oil Filter,Right Hand,48,1.418,167.8,151.0
17-32,PO-9417,IG3330-CE,Voltera Spark Plug Set,Ceramic,200,4.677,226.5,203.8
33-42,PO-9537,CO2901-LH,Ironbridge Radiator,Left Hand,120,1.119,192.5,173.2
43-43,PO-9461,BD8538-CR,Ridgeline Side Mirror Set,Chrome,12,0.330,32.1,28.9
44-53,PO-9521,EL5580-CE,Voltera Battery 12V,Ceramic,120,3.052,328.2,295.4
54-63,PO-9507,DR4763-LH,Torqueline Drive Chain,Left Hand,120,2.221,250.6,225.5
64-73,PO-9424,SU4039-PF,Summit Shock Absorber,Performance,120,2.014,437.9,394.1
74-83,PO-9465,EL2425-RH,Voltera Battery 12V,Right Hand,120,2.038,146.3,131.7
84-85,PO-9402,LT9363-HD,Lumen LED Headlight,Heavy Duty,24,0.716,22.3,20.1
86-101,PO-9446,CO8065-RH,Ironbridge Radiator,Right Hand,200,5.145,353.6,318.2
102-109,PO-9466,BR7508-CE,Redhawk Brake Pad Set,Ceramic,96,1.315,345.6,311.0
110-110,PO-9487,LT9677-OE,Lumen LED Headlight,OE Spec,12,0.250,14.8,13.3
111-114,PO-9459,BD4043-STD,Ridgeline Side Mirror Set,Standard,48,1.009,184.3,165.9
115-116,PO-9534,DR2383-OE,Torqueline Drive Chain,OE Spec,24,0.566,22.5,20.2
117-126,PO-9501,BR7175-BK,Redhawk Brake Pad Set,Black,120,2.259,110.8,99.7
127-128,PO-9497,EL8337-STD,Voltera Battery 12V,Standard,24,0.146,90.4,81.4
129-132,PO-9531,CO3942-RH,Ironbridge Radiator,Right Hand,48,0.255,133.3,120.0
133-133,PO-9486,FL7574-LH,Kestrel Oil Filter,Left Hand,12,0.063,20.5,18.4
134-149,PO-9534,LT5102-HD,Lumen LED Headlight,Heavy Duty,200,5.526,99.8,89.8
150-157,PO-9516,DR7527-CR,Torqueline Drive Chain,Chrome,96,0.431,328.2,295.4
158-161,PO-9505,EL4985-BK,Voltera Battery 12V,Black,48,1.284,156.7,141.0
162-169,PO-9509,LT4809-OE,Lumen LED Headlight,OE Spec,96,0.901,232.7,209.4
170-171,PO-9472,CO5638-LH,Ironbridge Radiator,Left Hand,24,0.258,81.9,73.7
172-175,PO-9527,BR8690-HD,Redhawk Brake Pad Set,Heavy Duty,48,0.190,35.3,31.8
176-183,PO-9435,CO3900-LH,Ironbridge Radiator,Left Hand,96,0.803,121.0,108.9
184-199,PO-9531,SU7550-LH,Summit Shock Absorber,Left Hand,200,2.665,466.0,419.4
200-201,PO-9526,FL4129-CR,Kestrel Oil Filter,Chrome,24,0.106,62.1,55.9
202-205,PO-9451,SU1841-OE,Summit Shock Absorber,OE Spec,48,1.195,17.7,15.9
206-215,PO-9423,CO5412-OE,Ironbridge Radiator,OE Spec,120,0.612,214.4,193.0

TOTAL,,,,,2612,46.002,5097.3,4587.3
Total cartons,215,,,,,,,
