Packing List,PL-100076,,,,,,,
Booking,NW2676,Container,SEAU5470856,ETD,2026-08-17,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-10,PO-9486,BD6501-HD,Ridgeline Side Mirror Set,Heavy Duty,120,1.216,248.6,223.7
11-14,PO-9412,LT5765-CE,Lumen LED Headlight,Ceramic,48,1.315,174.4,157.0
15-18,PO-9441,BD9965-RH,Ridgeline Side Mirror Set,Right Hand,48,0.940,151.9,136.7
19-19,PO-9400,SU7651-HD,Summit Shock Absorber,Heavy Duty,12,0.287,31.6,28.4
20-23,PO-9426,SU3712-HD,Summit Shock Absorber,Heavy Duty,48,0.776,160.9,144.8
24-24,PO-9485,BR3439-STD,Redhawk Brake Pad Set,Standard,12,0.246,39.0,35.1
25-26,PO-9453,EL1774-CR,Voltera Battery 12V,Chrome,24,0.667,94.7,85.2
27-28,PO-9476,FL7896-CE,Kestrel Oil Filter,Ceramic,24,0.654,39.4,35.5
29-38,PO-9482,LT3761-PF,Lumen LED Headlight,Performance,120,0.784,319.0,287.1
39-54,PO-9436,DR2133-CR,Torqueline Drive Chain,Chrome,200,5.740,164.3,147.9
55-62,PO-9531,IG6376-PF,Voltera Spark Plug Set,Performance,96,0.477,289.2,260.3
63-72,PO-9510,LT4580-HD,Lumen LED Headlight,Heavy Duty,120,0.809,97.0,87.3
73-88,PO-9458,BD4993-RH,Ridgeline Side Mirror Set,Right Hand,200,4.510,256.5,230.8
89-89,PO-9421,FL9882-CE,Kestrel Oil Filter,Ceramic,12,0.309,34.7,31.2
90-91,PO-9487,IG7682-PF,Voltera Spark Plug Set,Performance,24,0.636,12.0,10.8
92-99,PO-9408,LT2009-RH,Lumen LED Headlight,Right Hand,96,1.704,375.9,338.3
100-109,PO-9462,IG8166-BK,Voltera Spark Plug Set,Black,120,1.144,53.6,48.2
110-113,PO-9531,EL6905-RH,Voltera Battery 12V,Right Hand,48,0.615,47.5,42.8
114-129,PO-9436,BR6162-HD,Apex Brake Pad Set,Heavy Duty,200,1.641,601.8,541.6
130-131,PO-9413,BR5149-RH,Redhawk Brake Pad Set,Right Hand,24,0.278,16.1,14.5
132-135,PO-9435,DR6723-STD,Torqueline Drive Chain,Standard,48,1.187,140.7,126.6
136-136,PO-9482,DR9887-HD,Torqueline Drive Chain,Heavy Duty,12,0.130,6.6,5.9
137-146,PO-9460,EL8205-RH,Voltera Battery 12V,Right Hand,120,0.420,240.0,216.0
147-148,PO-9447,BR7862-HD,Apex Brake Pad Set,Heavy Duty,24,0.245,60.6,54.5
149-164,PO-9520,IG4861-RH,Voltera Spark Plug Set,Right Hand,200,2.195,653.6,588.2
165-180,PO-9462,IG5341-BK,Voltera Spark Plug Set,Black,200,5.767,367.9,331.1
181-182,PO-9478,DR1846-CE,Torqueline Drive Chain,Ceramic,24,0.229,52.6,47.3
183-198,PO-9439,BR9332-CR,Apex Brake Pad Set,Chrome,200,3.790,198.8,178.9
199-214,PO-9416,BD6555-STD,Ridgeline Side Mirror Set,Standard,200,4.587,202.2,182.0
215-218,PO-9464,FL5270-STD,Kestrel Oil Filter,Standard,48,0.565,77.6,69.8
219-222,PO-9455,DR1304-OE,Torqueline Drive Chain,OE Spec,48,0.573,37.5,33.8
223-230,PO-9539,FL5441-BK,Kestrel Oil Filter,Black,96,0.306,124.3,111.9

TOTAL,,,,,2816,44.742,5370.5,4833.2
Total cartons,230,,,,,,,
